fha_loan_id,hud_property_name,city,state,initial_endorsement_date,original_mortgage_amount,program_category,units,basic_fha_risk_share_or_other,current_status_of_loan,date_of_firm_issue,firm_commitment_lender,holder_name
580841,Fabrik Inc.,Davenport,PA,2004-12-30,149412707,223(a)(7) Refi of 223f ALF,61,Risk Sharing,Initially Endorsed,2023-03-07,Devon Energy,Kenworth
380902,Domtar,Compton,PA,2020-09-20,2189271,223(a)(7) Refi of 223f Nursing/ ICF,202,Basic FHA,Initially Endorsed,2023-05-28,Bold Ideas,Dominion Resources
787402,Exact Solutions,Hamtramck,PA,2014-10-16,40717322,202/8 SR,108,Hospitals & Group Practice,Initially Endorsed,2021-07-07,Pizza Hut,Polaris Industries
601757,Costco,Willmar,PA,2000-04-09,131443388,223(a)(7) Refi of 223f ALF,141,Risk Sharing,Initially Endorsed,2021-05-15,QCR Holdings,Silicon Image
974716,1098 Belgrave Pine,Beverly Hills,PA,2011-03-02,132606645,202/8 SR,20,Hospitals & Group Practice,Finally Endorsed,2020-01-02,J. P. Morgan Chase and Co.,Kraft Foods
788550,976 Matthew Viaduct,East Moline,PA,1986-12-19,141888488,223(a)(7) Refi of 223f ALF,179,Hospitals & Group Practice,Finally Endorsed,2022-10-10,Starbucks,Crazy Eddie
963883,530 Acton Green,Coronado,PA,1990-04-08,122743069,202/8 NC,59,Basic FHA,Finally Endorsed,2023-04-29,Happy Family,Gamma Gas
247443,7 Camp Bypass,San Juan,PA,2008-08-24,30532433,223(a)(7) Refi of 223f Nursing/ ICF,359,Basic FHA,Initially Endorsed,2020-08-28,World of Fun,The Coca-Cola Company
481844,MegaSolutions,Plant City,PA,1991-12-17,82368994,202/8 NC,85,Hospitals & Group Practice,Initially Endorsed,2020-03-05,SAIC,Adaptec
511532,587 Fella Terrace,North Olmsted,PA,1993-09-29,120660611,223(a)(7) Refi of 223f ALF,264,Hospitals & Group Practice,Finally Endorsed,2023-11-11,Pro Property Maintenance,Formula Gray
901920,33 Garden Circle,Howard,PA,1988-03-12,15381249,202/8 NC,345,Basic FHA,Initially Endorsed,2022-04-28,Sunny Real Estate Investments,Buena Vista Garden Maintenance
317264,Sistemos,Chanhassen,PA,2015-10-09,70825855,202/8 SR,205,Basic FHA,Finally Endorsed,2022-04-11,Anixter International,H. J. Heinz Company
996464,1040 Flora Creek,New Philadelphia,PA,1981-08-15,95359193,223(a)(7) Refi of 223f ALF,275,Hospitals & Group Practice,Finally Endorsed,2020-05-14,Komerci,Netobill
411772,952 Dedman Shore,Lancaster,PA,2013-03-22,142794711,223(a)(7) Refi of 223f Nursing/ ICF,141,Hospitals & Group Practice,Initially Endorsed,2020-03-14,Trinity Industries Inc.,StopGrey
892416,Dean Foods,Loma Linda,PA,2018-08-23,83239406,223(a)(7) Refi of 223f ALF,123,Risk Sharing,Finally Endorsed,2023-04-27,Avery Dennison,Happy Family
782757,1162 Nido Street,Zion,PA,1997-05-23,7793828,223(a)(7) Refi of 223f Nursing/ ICF,32,Basic FHA,Finally Endorsed,2022-09-22,J. C. Penny,Dynatronics Accessories
771366,Titania,Marshalltown,PA,2003-09-20,60942396,223(a)(7) Refi of 223f ALF,70,Basic FHA,Initially Endorsed,2023-06-12,Marsh & McLennan,Target Source
867890,WWW Realty,Valdosta,PA,2000-12-17,125016358,202/8 NC,233,Risk Sharing,Initially Endorsed,2022-07-31,Helping Hand,AMC Entertainment
825854,879 Salinas Walk,Issaquah,PA,1993-10-26,112344698,223(a)(7) Refi of 223f ALF,394,Risk Sharing,Initially Endorsed,2020-06-14,Edge Garden Services,Tanadgusix Corporation
606173,CVS Pharmacy,Woodridge,PA,1994-08-29,282265,223(a)(7) Refi of 223f Nursing/ ICF,203,Hospitals & Group Practice,Finally Endorsed,2021-07-16,Alliant Techsystems,Crazy Tiger
017127,529 Gaiser Spur,Libertyville,PA,2011-04-02,148807971,202/8 SR,381,Risk Sharing,Finally Endorsed,2023-03-03,J. C. Penny,Prospa-Pal
224184,1110 Saint George Lodge,Garden City,PA,2019-06-26,126950380,223(a)(7) Refi of 223f ALF,437,Hospitals & Group Practice,Finally Endorsed,2020-05-10,Russell Investment Group,YRC Worldwide Inc.
668756,358 Conservatory Canyon,Apex,PA,1989-12-05,121108967,202/8 NC,374,Basic FHA,Finally Endorsed,2020-09-12,Solution Answers,Seksi Ladi
843499,Bradley Pharmaceuticals,Davie,PA,2011-03-17,27018608,202/8 SR,48,Hospitals & Group Practice,Finally Endorsed,2020-03-12,Simply Appraisals,Russell Investment Group
017316,Tully's Coffee,Peekskill,PA,2011-02-23,146416210,223(a)(7) Refi of 223f ALF,431,Basic FHA,Finally Endorsed,2023-05-02,Brinks,Pilgrim's Pride
376360,410 Mandalay Glen,Monroe,PA,2021-09-29,16702794,202/8 SR,23,Basic FHA,Initially Endorsed,2020-11-25,Welch's,Starbucks
298885,Network Air,Grand Island,PA,2018-06-18,106433181,202/8 NC,154,Hospitals & Group Practice,Finally Endorsed,2023-08-20,Forum Communications,Houlihan's
374954,BearingPoint,Brockton,PA,1998-08-17,35998314,202/8 NC,354,Risk Sharing,Finally Endorsed,2021-05-09,Procter & Gamble,Tanadgusix Corporation
759683,749 Nibbi Hill,Lacey,PA,1993-10-20,38286699,223(a)(7) Refi of 223f Nursing/ ICF,225,Hospitals & Group Practice,Finally Endorsed,2021-06-03,Esselte,Helping Hand
018057,Zig Zag Children Clothes,Berkeley,PA,2006-02-05,38399800,223(a)(7) Refi of 223f ALF,357,Hospitals & Group Practice,Finally Endorsed,2022-04-09,"Aaron's, Inc.",XPAC
674354,Procter & Gamble,Rock Island,PA,2011-06-16,84839320,223(a)(7) Refi of 223f Nursing/ ICF,402,Basic FHA,Initially Endorsed,2021-03-16,Monk Home Improvements,Convergys Corp.
273826,Maxtor Corporation,Dearborn Heights,PA,1996-11-11,8297730,202/8 NC,236,Risk Sharing,Initially Endorsed,2021-07-20,Kimberly-Clark,Seattle's Best Coffee
008494,699 Bengal Bypass,Pleasant Prairie,PA,2013-02-02,58060255,223(a)(7) Refi of 223f Nursing/ ICF,450,Basic FHA,Initially Endorsed,2020-12-04,Russell Investment Group,ManPower
224774,612 Bepler Trace,Issaquah,PA,2000-08-20,26230551,202/8 NC,229,Risk Sharing,Initially Endorsed,2020-01-22,Terra,Assurant
148213,L.L.Bean,Redondo Beach,PA,2002-11-18,85934207,202/8 NC,97,Basic FHA,Initially Endorsed,2023-11-28,Complete Tech,Superior Interior Design
406981,1177 Eugenia Junction,Decatur,PA,1992-12-12,144380060,202/8 NC,344,Hospitals & Group Practice,Finally Endorsed,2023-09-10,Digi-Key,Libera
523213,883 Acevedo Street,Ennis,PA,2007-11-29,39368263,202/8 SR,371,Hospitals & Group Practice,Initially Endorsed,2020-03-01,Global Insight,American Electric Power
790737,1309 Margrave Walk,South Pasadena,PA,2012-07-19,34182197,223(a)(7) Refi of 223f Nursing/ ICF,494,Basic FHA,Initially Endorsed,2021-12-12,H. J. Heinz Company,Mikro Designs
230714,The Polka Dot Bear Tavern,Bountiful,PA,2021-12-19,21276054,202/8 SR,134,Risk Sharing,Finally Endorsed,2023-08-17,Nutri G,Dream Home Improvements
735768,Landskip Yard Care,Glenview,PA,2005-07-02,45347700,223(a)(7) Refi of 223f Nursing/ ICF,331,Basic FHA,Finally Endorsed,2021-06-14,Monk Home Improvements,Laserfiche
154866,Ideal Garden Maintenance,Utica,PA,2005-03-12,90754963,223(a)(7) Refi of 223f ALF,16,Hospitals & Group Practice,Initially Endorsed,2022-02-01,Helping Hand,Realty Solution
923873,DST Systems,Aventura,PA,2014-02-24,54112035,202/8 NC,298,Hospitals & Group Practice,Initially Endorsed,2023-09-06,Boston Acoustics,W.C. Bradley Co.
174457,441 Hernandez Lane,Dayton,PA,2004-01-21,5121563,223(a)(7) Refi of 223f Nursing/ ICF,397,Basic FHA,Finally Endorsed,2022-10-26,Big Lots,Discover Financial Services
819749,30 Ingleside Pike,Bloomingdale,PA,2002-11-20,77036242,202/8 NC,293,Basic FHA,Finally Endorsed,2022-01-10,Rich and Happy,Agilent Technologies
630380,Principal Financial Group,Walnut,PA,1998-08-14,85198191,202/8 SR,489,Risk Sharing,Finally Endorsed,2023-01-10,Mauna Loa Macadamia Nut Corp.,General Motors
874765,991 Banneker Lake,Deerfield,PA,2015-08-29,130005408,202/8 NC,437,Basic FHA,Initially Endorsed,2022-12-05,Martel Communication,NetApp
182065,AGCO,Los Banos,PA,2017-11-11,82650238,202/8 SR,146,Hospitals & Group Practice,Initially Endorsed,2020-08-20,Visa Inc.,Bristol-Myers Squibb
026155,928 Otsego Heights,Rock Springs,PA,1994-06-18,17743911,223(a)(7) Refi of 223f ALF,458,Hospitals & Group Practice,Finally Endorsed,2020-05-11,Chrysler,"CA, Inc."
306919,Transocean,South Plainfield,PA,1983-11-15,142369560,202/8 NC,479,Hospitals & Group Practice,Finally Endorsed,2020-08-08,Dow Chemical Company,Mission G
182655,1145 Commonwealth Glen,Selma,PA,2001-10-15,122158058,202/8 SR,239,Risk Sharing,Finally Endorsed,2021-09-22,Grass Roots Yard Services,News Corporation
702954,Iron Mountain,Wadsworth,PA,2023-08-24,71990560,223(a)(7) Refi of 223f Nursing/ ICF,23,Basic FHA,Initially Endorsed,2022-02-21,Team Designers and Associates,Service Corporation International
541992,YRC Worldwide Inc.,Campbell,PA,2019-08-29,57383354,202/8 SR,134,Hospitals & Group Practice,Finally Endorsed,2023-01-13,Express Scripts Incorporated,Take-Two Interactive
580833,Practi-Plan,Rogers,PA,1991-09-10,44493845,202/8 NC,250,Basic FHA,Finally Endorsed,2020-10-21,Houchens Industries,Sexy Babe
538694,Bristol-Myers Squibb,Burton,PA,1985-11-23,65571773,202/8 NC,472,Basic FHA,Initially Endorsed,2023-03-23,Omni Tech Solutions,Strategy Consulting
837143,Asian Junction,Bolingbrook,PA,2016-08-11,85224272,223(a)(7) Refi of 223f ALF,482,Basic FHA,Initially Endorsed,2020-02-02,Millenia Life,Electronics Source
780897,Allegheny Energy,Huntley,PA,1990-03-30,20690677,223(a)(7) Refi of 223f ALF,371,Risk Sharing,Initially Endorsed,2020-10-30,Kohler Company,ION Media Networks
957377,919 Cordelia Pike,Carteret,PA,1982-01-09,30675244,202/8 SR,392,Risk Sharing,Initially Endorsed,2023-09-07,New Balance,Gas Legion
584971,Boyd Gaming,Pine Bluff,PA,1980-04-06,42477190,223(a)(7) Refi of 223f Nursing/ ICF,373,Basic FHA,Initially Endorsed,2023-08-22,Parts and Pieces,"FileMaker Inc., formerly Claris Corp."
485912,520 Lansing Garden,Arnold,PA,2009-11-14,16701269,223(a)(7) Refi of 223f Nursing/ ICF,70,Basic FHA,Initially Endorsed,2021-06-14,NetApp,Corinthian Designs
841742,Monk Real Estate Service,Chino Hills,PA,2000-07-10,132400866,223(a)(7) Refi of 223f ALF,376,Basic FHA,Finally Endorsed,2020-01-29,Georgia Pacific,Infinite Wealth
257456,404 Auburn Boulevard,Wellington,PA,2018-03-19,68978153,223(a)(7) Refi of 223f ALF,102,Risk Sharing,Finally Endorsed,2021-06-24,Integra Design,Quality Event Planner
406752,Lockheed Martin,Pottstown,PA,1982-06-26,5261075,202/8 SR,4,Risk Sharing,Initially Endorsed,2021-01-16,First Choice Garden Maintenance,ONEOK
376292,341 Grenard Bridge,Kingsport,PA,2005-12-06,56014066,202/8 SR,345,Hospitals & Group Practice,Initially Endorsed,2021-11-26,Excella,Paramount Pictures
173700,1363 Lucerne Pass,Mineral Wells,PA,1996-07-08,107783321,223(a)(7) Refi of 223f ALF,481,Basic FHA,Initially Endorsed,2020-06-26,System Star,Apollo Group
152605,57 Eastman Mall,Laredo,PA,1984-02-24,71922687,223(a)(7) Refi of 223f Nursing/ ICF,233,Risk Sharing,Initially Endorsed,2023-05-29,Soyo Group,Informix
076605,Enterasys Networks,Park Forest,PA,2007-06-21,119659855,202/8 SR,393,Basic FHA,Finally Endorsed,2022-07-30,News Corporation,New World Realty
962242,500 Dirk Dirksen Avenue,Albany,PA,1981-01-02,16555007,223(a)(7) Refi of 223f ALF,390,Hospitals & Group Practice,Initially Endorsed,2022-06-01,Marantz,Spectrum Brands
698828,718 Grant Motorway,Iowa City,PA,2008-10-21,69008939,223(a)(7) Refi of 223f Nursing/ ICF,124,Basic FHA,Finally Endorsed,2020-03-25,Vibrant Man,Omni Realty
126386,754 Parsons Pike,Columbia Heights,PA,2003-06-01,105638603,202/8 SR,478,Basic FHA,Finally Endorsed,2022-10-14,Agriprocessors,Terra Nova Garden Services
398462,Stewart-Warner,Holladay,PA,2014-08-07,116161461,202/8 SR,233,Risk Sharing,Finally Endorsed,2023-12-23,First Choice Garden Maintenance,General Electric
903815,Prospa-Pal,Calexico,PA,1991-08-24,85128925,223(a)(7) Refi of 223f ALF,334,Basic FHA,Initially Endorsed,2022-04-19,Watco Companies,Popeyes Chicken & Biscuits
005220,Practi-Plan,Palatine,PA,2021-10-10,23026227,202/8 SR,241,Basic FHA,Initially Endorsed,2022-08-06,Nutri G,Maxi-Tech
317832,Grey Fade,Aberdeen,PA,2003-06-29,59998460,223(a)(7) Refi of 223f Nursing/ ICF,368,Risk Sharing,Initially Endorsed,2022-01-04,Afforda,Maxtor Corporation
325664,PG&E,Acworth,PA,2004-11-19,137294942,223(a)(7) Refi of 223f ALF,280,Hospitals & Group Practice,Finally Endorsed,2021-01-09,Doculabs,Borders Group
713761,Sunny Real Estate Investments,Lawrenceville,PA,2021-05-17,52020150,223(a)(7) Refi of 223f ALF,417,Risk Sharing,Initially Endorsed,2021-09-22,Jack in the Box,Atlas Realty
131744,Black & Decker,Huntington Beach,PA,1992-08-18,39595497,223(a)(7) Refi of 223f ALF,230,Risk Sharing,Finally Endorsed,2022-12-30,Body Toning,Terra
110195,Terra,Imperial Beach,PA,1981-04-28,62492675,223(a)(7) Refi of 223f ALF,370,Basic FHA,Finally Endorsed,2020-08-11,American Axle,Suadela Investment
709129,9 Homestead Walk,Rocky Mount,PA,2008-04-08,148270627,223(a)(7) Refi of 223f Nursing/ ICF,112,Basic FHA,Initially Endorsed,2022-09-18,Universal Studios,Modern Realty
336020,Mutual of Omaha,Hollywood,PA,2013-06-20,100656648,223(a)(7) Refi of 223f Nursing/ ICF,80,Basic FHA,Finally Endorsed,2023-08-15,Wizards of the Coast,The Goose and Duck
331939,1062 Hagiwara Tea Garden Creek,Ansonia,PA,2018-11-06,68887471,223(a)(7) Refi of 223f ALF,476,Risk Sharing,Initially Endorsed,2023-09-23,Estée Lauder Companies,Incluesiv
912028,Lucasfilm,Strongsville,PA,2006-07-22,78352296,223(a)(7) Refi of 223f ALF,298,Hospitals & Group Practice,Initially Endorsed,2020-08-27,NetDNA,Total Serve
402968,287 Music Concourse Freeway,Noblesville,PA,1992-09-24,83232707,223(a)(7) Refi of 223f ALF,356,Hospitals & Group Practice,Finally Endorsed,2021-03-06,Emcor,Awthentikz
489763,825 Goleta Station,Sand Springs,PA,2002-05-27,113510255,202/8 SR,194,Hospitals & Group Practice,Initially Endorsed,2020-07-12,Asian Answers,Integra Wealth
323223,588 Dixie Loop,Loma Linda,PA,1984-03-31,32402427,223(a)(7) Refi of 223f Nursing/ ICF,174,Hospitals & Group Practice,Finally Endorsed,2023-09-24,Verbatim Corporation,Procter & Gamble
184577,Georgia Pacific,Kennesaw,PA,2005-08-20,104382956,202/8 NC,460,Basic FHA,Finally Endorsed,2021-09-21,Lumencraft,Jimmy John's
767844,Arbitron,Glendora,PA,1985-06-07,24199492,223(a)(7) Refi of 223f Nursing/ ICF,367,Hospitals & Group Practice,Finally Endorsed,2020-06-30,Activision Blizzard,Global Insight
580095,725 Whitfield Landing,Madison,PA,2011-03-21,54150954,223(a)(7) Refi of 223f Nursing/ ICF,485,Risk Sharing,Finally Endorsed,2020-01-21,Subway,Golden Joy
938498,Westinghouse Digital LLC,Menomonee Falls,PA,2010-11-19,84707361,202/8 SR,65,Basic FHA,Initially Endorsed,2021-09-01,Farnod,AECOM
687210,656 Rodgers Freeway,Kiryas Joel,PA,2014-10-28,145640374,202/8 SR,61,Risk Sharing,Finally Endorsed,2023-11-27,Fireball,Hoyden
486068,875 Lower Fort Mason Stravenue,Florissant,PA,2022-04-22,27353780,223(a)(7) Refi of 223f Nursing/ ICF,443,Hospitals & Group Practice,Initially Endorsed,2021-11-02,Kimberly-Clark,Subway
067201,1020 Jack Micheline Run,Morganton,PA,2023-10-27,82432917,202/8 NC,494,Basic FHA,Finally Endorsed,2020-12-14,Bushmaster Firearms International,Pointers
431885,Paxton Media Group,Clifton,PA,2018-08-17,763591,202/8 NC,54,Risk Sharing,Finally Endorsed,2022-02-11,Northrop Grumman,Midway Games
136883,1330 Gates Bridge,Laramie,PA,2018-04-30,105236951,223(a)(7) Refi of 223f ALF,244,Hospitals & Group Practice,Finally Endorsed,2020-05-27,Allergan,Bold Ideas
866241,94 Ridge Center,Fairfax,PA,1985-05-11,147173324,223(a)(7) Refi of 223f Nursing/ ICF,71,Basic FHA,Initially Endorsed,2021-08-19,Shirokiya,Modern Realty
692732,1132 Maryland Point,Wilkes-Barre,PA,1990-02-14,139472222,202/8 NC,88,Basic FHA,Initially Endorsed,2022-12-29,Dow Jones & Company,Adobe Systems Inc.
690077,"Fred Meyer, Inc.",West Linn,PA,1984-01-15,43678907,202/8 NC,385,Risk Sharing,Initially Endorsed,2023-09-28,Life Map Planners,Life's Gold
088158,117 Poplar Shore,Calabasas,PA,2002-07-24,28742105,202/8 NC,186,Risk Sharing,Finally Endorsed,2023-06-18,Chicago Bridge & Iron Company,Go Daddy
428889,Pluto Marine,Warren,PA,2003-12-17,110087425,223(a)(7) Refi of 223f Nursing/ ICF,441,Basic FHA,Finally Endorsed,2020-06-11,Vulcan Corporation,Atlas Realty
913722,1265 Flower Trail,Merrillville,PA,1990-01-17,1559961,223(a)(7) Refi of 223f Nursing/ ICF,373,Basic FHA,Finally Endorsed,2020-09-04,Continental Airlines,Tully's Coffee
959656,508 Buchanan Extension,Bethel Park,PA,2013-01-21,129591975,202/8 NC,19,Risk Sharing,Finally Endorsed,2023-05-03,Del Monte Foods,Johnson & Johnson
086726,284 East Crystal Cove Field,Houston,PA,2001-02-25,68832452,223(a)(7) Refi of 223f Nursing/ ICF,46,Risk Sharing,Finally Endorsed,2021-07-07,Vivitar,XPLANE
365027,486 Hawes Landing,Gresham,PA,1996-01-18,22612976,223(a)(7) Refi of 223f Nursing/ ICF,19,Hospitals & Group Practice,Finally Endorsed,2023-02-15,General Electric,Magna Architectural Design
072314,First Choice Garden Maintenance,Pelham,PA,1986-12-26,5698431,202/8 NC,150,Basic FHA,Finally Endorsed,2021-12-19,Vitamax Health Food Center,Kenworth
949344,Pinnacle Systems,Pembroke Pines,PA,2001-06-28,6511311,202/8 SR,66,Basic FHA,Initially Endorsed,2020-11-09,Stratabiz,Planet Profit
155220,249 Hobart Spur,Mesa,PA,2015-02-09,138042394,202/8 NC,6,Hospitals & Group Practice,Finally Endorsed,2021-08-08,Agriprocessors,Amazon.com
477914,Full Color,Midlothian,PA,2018-01-23,145069941,223(a)(7) Refi of 223f Nursing/ ICF,353,Hospitals & Group Practice,Initially Endorsed,2020-11-13,Vocera Communications,Hot Topic
057663,1022 Otega Boulevard,Yorba Linda,PA,2003-02-02,91215710,223(a)(7) Refi of 223f ALF,462,Risk Sharing,Initially Endorsed,2023-08-17,Victoria's Secret,Citrix
