property_id,fha_loan_id,longitude,latitude,geocoding_accuracy,county,county_fips_code,congressional_district_code,census_tract,municipality_fips,municipality_name,hud_property_name,property_street_address,city,state,zip_code,units,assisted_units,property_category_name,property_manager_name,property_manager_phone,associated_fha_loan_id,initial_endorsement_date,original_mortgage_amount,maturity_date,program_category,program_category_2,loan_units,client_group_name,client_group_type,section_of_act_code,servicing_site_name_loan,geom,geom_webmercator
800186097,038146,-79.75729084842878,40.51111386178221,R,Allegheny,42003,15,42065513333,800276079,Bradford Woods,971 Perine Manor,983 Temple Viaduct,Plainview,PA,80166,466,405,Insured-Subsidized,Marin Hubbard,(412) 693-0709,750330,1985-02-27,105580339,2049-07-09,202/8 NC,None,24,Elderly,Elderly,BEP,Baltimore,POINT (4509676.566561922 -15384958.2551156),POINT (4509676.566561922 -15384958.2551156)
800367704,547072,-79.77904447155369,40.326936377468726,R,Allegheny,42003,13,42085511631,800234741,Franklin Park,142 Merrimac Station,1203 Denslowe Lodge,Green,PA,14185,191,408,Insured-Unsubsidized,Dusti Ward,(412) 463-5532,745079,2009-08-03,34917485,2042-06-29,202/8 NC,None,174,Indv. families - not eld/ handicap	,Family,KEJ,OHP,POINT (4489174.022792559 -15398590.989172433),POINT (4489174.022792559 -15398590.989172433)
800874264,793329,-79.94267130128027,40.32139243843571,R,Allegheny,42003,15,42011221186,800575489,Fox Chapel,The Liberty Corporation,1298 Beaumont Motorway,Mishawaka,PA,37345,253,378,Insured-Unsubsidized,Felipe Cobb,(412) 446-9712,183721,2006-12-18,36141767,2023-06-29,202/8 NC,None,303,Assisted Living Care,None,PON,OHP,POINT (4488556.874322414 -15502063.64048235),POINT (4488556.874322414 -15502063.64048235)
800822097,124653,-80.23141783136131,40.48460907286877,R,Allegheny,42003,13,42037995849,800156097,Clairton,1266 Burlwood Gardens,917 Burlwood Loop,Morganton,PA,77537,262,289,Insured-Subsidized,Fletcher Leach,(412) 602-7989,192956,2005-02-15,21164330,2032-11-12,202/8 SR,None,62,Indv. families - not eld/ handicap	,Family,HJI,OHP,POINT (4506726.066956495 -15688790.530658036),POINT (4506726.066956495 -15688790.530658036)
800375845,504066,-80.04848171803198,40.40686362853286,R,Allegheny,42003,18,42054393258,800486540,Braddock,282 Aladdin Landing,728 Selby Plaza,Wenatchee,PA,93240,168,519,Insured-Unsubsidized,Bernarda Ross,(412) 177-9215,945913,2000-04-11,32028771,2048-03-03,223(a)(7) Refi of 223f ALF,None,328,Assisted Living Care,Elderly,MTE,OHP,POINT (4498071.483681525 -15569865.768054152),POINT (4498071.483681525 -15569865.768054152)
800374322,200845,-79.87431904353826,40.56647109207018,R,Allegheny,42003,16,42021500220,800118146,Aleppo,678 Baldwin Mall,299 Clearfield Route,Garden City,PA,83759,55,126,Insured-Subsidized,Jina Rivera,(412) 603-9399,795578,2020-11-26,25990636,2032-04-07,223(a)(7) Refi of 223f Nursing/ ICF,None,280,Family & Elderly,Family,HIJ,OHP,POINT (4515838.905249305 -15458638.60473911),POINT (4515838.905249305 -15458638.60473911)
800917716,974794,-80.16303602167152,40.34234827730737,R,Allegheny,42003,15,42027033756,800074775,Wilkinsburg,Ultimate Software,651 Mistral Gardens,Lakeland,PA,77126,239,253,Insured-Subsidized,Elly Carter,(412) 876-3700,794792,1995-01-08,52250340,2063-02-03,223(a)(7) Refi of 223f ALF,None,282,Elderly,None,TPK,Pittsburgh,POINT (4490889.6676347535 -15644080.178834798),POINT (4490889.6676347535 -15644080.178834798)
800938429,309773,-79.87002441358541,40.19525834505791,R,Allegheny,42003,13,42043516964,800076959,Stowe,Netcom Business Services,381 Bayside Stravenue,Daly City,PA,19373,85,90,Insured-Subsidized,Juan Ford,(412) 455-5514,709017,2010-04-21,136657306,2056-06-25,202/8 NC,None,40,Assisted Living Care,Family,SDS,Pittsburgh,POINT (4474515.691275926 -15455919.867383998),POINT (4474515.691275926 -15455919.867383998)
800775467,732305,-79.79464884901284,40.432363190809184,R,Allegheny,42003,18,42063448598,800122712,Liberty,Omni Tech Solutions,199 Harkness Park,Corona,PA,53409,61,584,Insured-Unsubsidized,Carrol Meadows,(412) 638-0631,584468,2022-01-19,26091393,2034-04-07,223(a)(7) Refi of 223f Nursing/ ICF,None,37,Assisted Living Care,Family,GDW,Pittsburgh,POINT (4500910.081969576 -15408387.757889211),POINT (4500910.081969576 -15408387.757889211)
800036791,985188,-79.81455232355052,40.536527245118585,R,Allegheny,42003,12,42017318395,800290650,Monroeville,202 Kissling Bayou,568 Green Lake,Bradenton,PA,74636,163,158,Insured-Unsubsidized,Coleman Todd,(412) 549-7989,020185,2019-04-02,41519236,2050-02-19,202/8 NC,None,285,Family & Elderly,Family,RQI,Baltimore,POINT (4512505.571454261 -15420905.124182737),POINT (4512505.571454261 -15420905.124182737)
800872801,127060,-79.93854621215984,40.21952250450125,R,Allegheny,42003,17,42023203991,800062599,Ben Avon Heights,ABM Industries,562 Sergeant John V Young Mews,Highland,PA,63080,193,146,Insured-Unsubsidized,Lincoln Bird,(412) 966-9344,307567,2010-01-24,107693599,2063-06-18,202/8 NC,None,215,Indv. families - not eld/ handicap	,Family,YMU,OHP,POINT (4477216.765149686 -15499434.650416391),POINT (4477216.765149686 -15499434.650416391)
800197999,490047,-79.86756635250634,40.38627045886469,R,Allegheny,42003,16,42056606716,800853952,Moon,570 Loma Vista Route,341 Willie B Kennedy Mall,Benicia,PA,59260,20,441,Insured-Unsubsidized,Denisse Mclaughlin,(412) 032-6754,466893,2006-05-15,66821789,2045-12-12,202/8 SR,None,89,Assisted Living Care,None,USO,OHP,POINT (4495779.062520245 -15454364.292491471),POINT (4495779.062520245 -15454364.292491471)
800913503,456483,-80.15989165389124,40.369492084176436,R,Allegheny,42003,18,42036970214,800101540,Pine,"Fred Meyer, Inc.",112 Pierce Avenue,Chester,PA,28341,437,323,Insured-Subsidized,Leandro Atkinson,(412) 979-7747,057533,1998-07-19,22933656,2040-03-15,223(a)(7) Refi of 223f Nursing/ ICF,None,108,Family & Elderly,Family,PYK,Baltimore,POINT (4493911.302393609 -15642031.692518953),POINT (4493911.302393609 -15642031.692518953)
800712688,365089,-80.16438334802065,40.477758744357374,R,Allegheny,42003,13,42086674737,800363562,Glassport,Cut Above,1355 Lyon Grove,Lakewood,PA,96131,421,263,Insured-Unsubsidized,Nicolle Chandler,(412) 577-1164,167240,1984-05-04,63945573,2030-05-03,223(a)(7) Refi of 223f ALF,None,333,Family & Elderly,Family,CSN,Pittsburgh,POINT (4505963.491874839 -15644958.130691396),POINT (4505963.491874839 -15644958.130691396)
800938100,112500,-80.04575316218623,40.35543951989957,R,Allegheny,42003,15,42049637475,800847622,Aspinwall,433 Cosgrove Mews,608 Putnam Spur,Hopkins,PA,83980,326,485,Insured-Unsubsidized,Royal Wilkins,(412) 551-0870,574964,2016-12-23,23180615,2052-04-03,223(a)(7) Refi of 223f Nursing/ ICF,None,196,Assisted Living Care,Elderly,CQG,OHP,POINT (4492346.978093969 -15568108.394120997),POINT (4492346.978093969 -15568108.394120997)
800672911,330575,-79.90837758423918,40.2421389176907,R,Allegheny,42003,13,42024278749,800825722,Versailles,61 Natoma Hills,217 Circular Circle,Cupertino,PA,83055,189,404,Insured-Subsidized,Leonida Solomon,(412) 422-5293,814052,1980-06-06,51486831,2036-11-21,223(a)(7) Refi of 223f ALF,None,158,Elderly,Elderly,VOK,Pittsburgh,POINT (4479734.4127495065 -15480240.03294189),POINT (4479734.4127495065 -15480240.03294189)
800238426,313322,-79.86445443390693,40.46015876873626,R,Allegheny,42003,13,42070911665,800098280,Bethel Park,948 De Long Cove,569 Industrial Grove,Paramus,PA,41200,357,118,Insured-Unsubsidized,Olevia Huffman,(412) 921-0374,954067,1982-10-08,11733568,2046-08-20,202/8 SR,None,307,Family & Elderly,Elderly,DCP,Baltimore,POINT (4504004.271550723 -15452395.461833367),POINT (4504004.271550723 -15452395.461833367)
800863727,752991,-80.06535377697288,40.649923560284314,R,Allegheny,42003,13,42081877859,800546863,Castle Shannon,692 Whitney Lane,1119 Balboa Landing,Edina,PA,40501,447,242,Insured-Subsidized,Jospeh Brennan,(412) 950-2039,476441,1998-06-15,137048398,2053-03-08,223(a)(7) Refi of 223f ALF,None,106,Assisted Living Care,Family,EUY,OHP,POINT (4525128.791516344 -15580743.116921848),POINT (4525128.791516344 -15580743.116921848)
800854379,015978,-80.08485691410218,40.5792619173108,R,Allegheny,42003,13,42009367955,800773969,Mt Lebanon,American Greetings,383 Rousseau Center,Laredo,PA,31135,494,510,Insured-Subsidized,Jermaine Eaton,(412) 231-3868,118393,2009-12-07,122428142,2052-07-04,202/8 NC,None,192,Assisted Living Care,None,NWY,Pittsburgh,POINT (4517262.773401917 -15593339.52223841),POINT (4517262.773401917 -15593339.52223841)
800140720,284630,-79.95797163633772,40.59869331930851,R,Allegheny,42003,17,42084399096,800767245,Verona,"DivX, Inc.",567 Melba Parkway,Calumet City,PA,77417,111,597,Insured-Unsubsidized,Noah Lynch,(412) 513-2609,362989,1985-05-14,100831636,2042-07-05,202/8 NC,None,18,Family & Elderly,Elderly,TKS,OHP,POINT (4519425.867177701 -15511824.135468787),POINT (4519425.867177701 -15511824.135468787)
800376596,761576,-80.05109055389163,40.55746674556072,R,Allegheny,42003,15,42031648983,800258461,Avalon,190 Pizarro Parkway,524 Emerald Drive,Cabot,PA,71665,6,305,Insured-Unsubsidized,Georgeann Holloway,(412) 034-5450,232801,1986-11-28,90417067,2048-05-21,202/8 SR,None,46,Elderly,Family,WKQ,Baltimore,POINT (4514836.545980945 -15571546.480357599),POINT (4514836.545980945 -15571546.480357599)
800640019,269189,-80.0849430339731,40.36916457152796,R,Allegheny,42003,15,42008182023,800511141,Haysville,898 Avoca Garden,467 San Diego Gardens,Park Ridge,PA,36269,315,547,Insured-Subsidized,Wes Sears,(412) 406-0138,113608,2015-09-12,19990654,2028-04-03,223(a)(7) Refi of 223f ALF,None,75,Assisted Living Care,Elderly,CQL,Baltimore,POINT (4493874.843852352 -15593395.198478127),POINT (4493874.843852352 -15593395.198478127)
800946657,828247,-79.9789098385833,40.49193690971125,R,Allegheny,42003,13,42044805367,800873594,Springdale,743 Tunnel Rapids,239 Hunters Point Station,Darien,PA,11678,49,446,Insured-Unsubsidized,Kelsi Rush,(412) 993-3086,558107,2010-01-01,39478204,2047-06-11,202/8 NC,None,77,Indv. families - not eld/ handicap	,Family,EQQ,Baltimore,POINT (4507541.7980224155 -15525205.057884825),POINT (4507541.7980224155 -15525205.057884825)
800242154,128732,-80.04445349314928,40.51418001999317,R,Allegheny,42003,15,42024526656,800314667,Wilkins,1105 Ellis Ranch,1333 De Boom Hill,Brunswick,PA,20310,341,565,Insured-Unsubsidized,Rodger Clarke,(412) 317-5039,621061,1991-07-20,97551795,2035-09-06,223(a)(7) Refi of 223f Nursing/ ICF,None,162,Family & Elderly,Family,TCN,Baltimore,POINT (4510017.889732658 -15567271.4872901),POINT (4510017.889732658 -15567271.4872901)
800070304,814920,-79.72890011627385,40.464062808591216,R,Allegheny,42003,13,42029190714,800931338,Heidelberg,BJ's Wholesale Club,172 Taber Point,Strongsville,PA,48845,357,410,Insured-Subsidized,Delisa Mcfadden,(412) 208-3987,617232,2022-05-31,124671988,2036-10-25,202/8 SR,None,195,Indv. families - not eld/ handicap	,Elderly,PNB,OHP,POINT (4504438.867279413 -15367209.147557022),POINT (4504438.867279413 -15367209.147557022)
800298608,914104,-80.15984983662923,40.32759315225222,R,Allegheny,42003,17,42027256022,800182206,East McKeesport,Nabisco,379 Boalt Landing,Durham,PA,32203,257,2,Insured-Unsubsidized,Blake Sherman,(412) 946-9538,112248,2022-07-03,106755076,2054-06-14,202/8 SR,None,201,Indv. families - not eld/ handicap	,None,EHF,OHP,POINT (4489247.134627024 -15642004.453861667),POINT (4489247.134627024 -15642004.453861667)
800829730,450606,-80.26474234006771,40.44688214478486,R,Allegheny,42003,15,42006642072,800230794,Oakmont,1199 Castro Boulevard,24 Pulaski Cove,Philadelphia,PA,94916,421,499,Insured-Subsidized,Neoma Le,(412) 579-4764,696416,1994-04-30,125288188,2038-08-29,202/8 SR,None,184,Assisted Living Care,Family,ZWZ,Pittsburgh,POINT (4502526.324532999 -15710691.673378943),POINT (4502526.324532999 -15710691.673378943)
800836452,656203,-80.08722117143473,40.45803305228323,R,Allegheny,42003,18,42072974619,800838102,Bridgeville,1123 Wool Ranch,1027 Liberty Avenue,Benicia,PA,44714,150,326,Insured-Unsubsidized,Casey O'neil,(412) 847-8080,223786,2010-02-08,80385193,2053-01-17,202/8 NC,None,281,Elderly,Family,FDG,Baltimore,POINT (4503767.6378776 -15594868.181419611),POINT (4503767.6378776 -15594868.181419611)
800533076,583096,-79.9782769761308,40.566781613504375,R,Allegheny,42003,16,42004501826,800502409,Aspinwall,First Choice Garden Maintenance,40 Behr Annex,Claremore,PA,42616,418,253,Insured-Unsubsidized,Thersa Simpson,(412) 274-4366,820978,1982-06-06,105294093,2045-08-17,202/8 NC,None,207,Elderly,None,AWF,Baltimore,POINT (4515873.47233724 -15524800.21072441),POINT (4515873.47233724 -15524800.21072441)
800326602,996789,-79.95068607950274,40.40489000293223,R,Allegheny,42003,17,42050459342,800445068,Pleasant Hills,883 Davenport Loop,788 Eutaw Rapids,Trotwood,PA,43784,130,473,Insured-Subsidized,Eusebio Yang,(412) 375-0187,361587,1985-09-04,37779752,2060-02-24,202/8 SR,None,80,Family & Elderly,Elderly,LPF,Baltimore,POINT (4497851.780684645 -15507174.64864891),POINT (4497851.780684645 -15507174.64864891)
800471682,405351,-80.16065984594209,40.488630858174105,R,Allegheny,42003,17,42071796179,800143829,Forest Hills,Honest Air Group,672 Stanford Heights Manor,Pueblo,PA,10276,300,290,Insured-Subsidized,Carson Johnson,(412) 708-7406,932845,1995-08-07,11142822,2035-07-25,202/8 NC,None,94,Elderly,Family,UYF,Pittsburgh,POINT (4507173.7700487645 -15642532.092874864),POINT (4507173.7700487645 -15642532.092874864)
800550447,329107,-80.05809663028444,40.58109791479399,R,Allegheny,42003,12,42055936194,800980749,West Deer,185 Rosella Terrace,720 Amethyst Mews,Goose Creek,PA,56580,92,55,Insured-Subsidized,Aubrey Cobb,(412) 862-3229,243940,2007-03-14,114031085,2030-07-07,202/8 NC,None,327,Family & Elderly,None,PIM,Pittsburgh,POINT (4517467.155706843 -15576062.22395757),POINT (4517467.155706843 -15576062.22395757)
800131986,976896,-80.01231820527468,40.35012239277801,R,Allegheny,42003,15,42051355874,800438778,Ingram,Lumencraft,383 Dr Carlton B Goodlett Spur,Toledo,PA,82197,122,556,Insured-Subsidized,Sebastian Contreras,(412) 176-8928,235862,2017-11-13,51679025,2062-03-30,202/8 SR,None,124,Elderly,Elderly,IGY,Baltimore,POINT (4491755.078210313 -15546612.665018551),POINT (4491755.078210313 -15546612.665018551)
800276964,908386,-79.73026432707853,40.65004902013286,R,Allegheny,42003,15,42059891614,800140307,Bellevue,Dreamscape Garden Care,976 Montana Drive,Myrtle Beach,PA,97337,409,139,Insured-Subsidized,Barbar Talley,(412) 228-4128,262450,2003-02-20,24736645,2044-07-24,223(a)(7) Refi of 223f Nursing/ ICF,None,78,Family & Elderly,Elderly,CSR,Baltimore,POINT (4525142.757642799 -15368060.904084034),POINT (4525142.757642799 -15368060.904084034)
800593173,620939,-79.86974978515227,40.21830482966313,R,Allegheny,42003,12,42099411903,800361604,Turtle Creek,Arizona Stock Exchange,1140 Keystone Estate,Pico Rivera,PA,12949,4,336,Insured-Subsidized,Rubin Carr,(412) 081-8236,727929,2020-03-11,34930395,2023-06-09,202/8 SR,None,252,Elderly,None,GET,OHP,POINT (4477081.214206755 -15455746.051258847),POINT (4477081.214206755 -15455746.051258847)
800043534,991559,-80.01335898632456,40.62304214201069,R,Allegheny,42003,17,42041784907,800624343,Castle Shannon,Laserfiche,1126 Trainor Pine,Fayetteville,PA,59868,325,189,Insured-Subsidized,Lanelle Kennedy,(412) 120-4886,117830,1993-02-24,7400465,2036-01-30,223(a)(7) Refi of 223f Nursing/ ICF,None,129,Family & Elderly,None,BHM,Baltimore,POINT (4522136.365722323 -15547280.72063506),POINT (4522136.365722323 -15547280.72063506)
800179584,692297,-80.2310550459066,40.37384051556404,R,Allegheny,42003,17,42096981124,800196251,Whitaker,277 Summit Alley,1084 Bird Creek,Summerville,PA,57469,326,295,Insured-Subsidized,Thurman Mcclain,(412) 859-0044,401093,2006-04-01,126189957,2027-02-08,202/8 SR,None,10,Assisted Living Care,Family,CPI,Pittsburgh,POINT (4494395.367561427 -15688552.51240832),POINT (4494395.367561427 -15688552.51240832)
800873803,539597,-80.21833876340109,40.46884412035472,R,Allegheny,42003,18,42074369377,800497004,Whitaker,1179 Seal Cove Viaduct,622 Crestmont Bridge,Garden City,PA,29585,341,81,Insured-Unsubsidized,Zachary Garner,(412) 607-9273,566988,2022-09-23,71934387,2061-04-12,202/8 NC,None,216,Family & Elderly,None,APT,Baltimore,POINT (4504971.12047025 -15680215.070727684),POINT (4504971.12047025 -15680215.070727684)
800857726,110155,-80.04682411119062,40.570781844125165,R,Allegheny,42003,12,42080830429,800984061,Oakmont,Avery Dennison,129 Jordan Park,Lynwood,PA,18172,141,5,Insured-Unsubsidized,Delinda Kinney,(412) 640-2561,212235,1991-10-16,13784238,2036-04-19,202/8 SR,None,115,Indv. families - not eld/ handicap	,Elderly,QGS,Baltimore,POINT (4516318.7759730015 -15568798.100628408),POINT (4516318.7759730015 -15568798.100628408)
800634317,200694,-80.25064165130115,40.3898430863281,R,Allegheny,42003,18,42018912140,800936069,Mt Lebanon,Take-Two Interactive,349 Sandpiper Cove Bridge,Brookfield,PA,36388,143,74,Insured-Unsubsidized,Shannon Morris,(412) 498-6518,684566,2020-11-12,33862481,2027-08-09,223(a)(7) Refi of 223f ALF,None,223,Family & Elderly,Elderly,ZNP,Baltimore,POINT (4496176.765590265 -15701415.536842216),POINT (4496176.765590265 -15701415.536842216)
800420978,573122,-80.03233390402292,40.364109074546754,R,Allegheny,42003,16,42022389713,800154870,Mt Lebanon,654 Greenspring Annex,160 Pershing Canyon,Eagle,PA,27582,136,566,Insured-Unsubsidized,Danilo Woods,(412) 054-8489,381234,2005-08-26,949743,2059-05-23,202/8 NC,None,226,Indv. families - not eld/ handicap	,Elderly,HYC,OHP,POINT (4493312.068502697 -15559472.420764742),POINT (4493312.068502697 -15559472.420764742)
800738905,223799,-80.01848893626993,40.41608440230277,R,Allegheny,42003,12,42009575529,800750542,Castle Shannon,1210 Pacheco Gardens,143 Troy Road,Rochester Hills,PA,08034,17,7,Insured-Unsubsidized,Perry O'connor,(412) 768-6505,641560,1989-03-01,71429355,2038-07-25,223(a)(7) Refi of 223f Nursing/ ICF,None,244,Assisted Living Care,Elderly,YJN,Pittsburgh,POINT (4499097.935522311 -15550574.535668572),POINT (4499097.935522311 -15550574.535668572)
800489680,917341,-79.95396303716105,40.418484421870744,R,Allegheny,42003,12,42034298292,800314598,Coraopolis,944 Ecker Pass,1151 Maryland Hill,Bourbonnais,PA,59467,178,40,Insured-Unsubsidized,Trudi Frank,(412) 712-5686,973787,2019-09-10,52250171,2041-09-18,202/8 SR,None,111,Assisted Living Care,Family,ABI,Baltimore,POINT (4499365.104478512 -15509265.52010484),POINT (4499365.104478512 -15509265.52010484)
800064194,412193,-79.84709263878386,40.202485640832855,R,Allegheny,42003,17,42045917822,800271630,Richland,933 De Long Terrace,1267 Card Extension,Eagle Pass,PA,75534,189,318,Insured-Unsubsidized,Palmer Dotson,(412) 064-9593,021170,1991-07-27,120506076,2037-11-10,202/8 NC,None,162,Assisted Living Care,Family,YJQ,Baltimore,POINT (4475320.230161406 -15441422.067919703),POINT (4475320.230161406 -15441422.067919703)
800020876,789761,-79.71371210557916,40.498330342845044,R,Allegheny,42003,15,42003385714,800338900,Ohara,1026 Ils Square,67 Louisburg Street,Auburn,PA,36930,125,159,Insured-Unsubsidized,Ivana Shelton,(412) 144-9267,076682,1994-01-23,125516567,2023-11-10,202/8 SR,None,88,Assisted Living Care,Family,KZE,OHP,POINT (4508253.511743291 -15357733.93648656),POINT (4508253.511743291 -15357733.93648656)
800841453,434819,-80.09070367081972,40.43050195647849,R,Allegheny,42003,13,42057089888,800346185,Scott,Back To Basics Chiropractic Clinic,518 East Fort Miley Plaza,South Salt Lake,PA,32194,147,213,Insured-Subsidized,Vicente Pollard,(412) 420-3848,382694,1989-12-23,142786532,2042-10-18,223(a)(7) Refi of 223f Nursing/ ICF,None,303,Family & Elderly,Family,XDM,OHP,POINT (4500702.890311636 -15597120.52052002),POINT (4500702.890311636 -15597120.52052002)
800982779,868317,-80.14965617908844,40.40828704039095,R,Allegheny,42003,15,42065078391,800021407,Ohio,Modern Architecture Design,58 Battery Crosby Ranch,Alamogordo,PA,88786,307,73,Insured-Subsidized,Douglas Schmidt,(412) 357-3529,106845,1994-05-02,13096048,2053-02-04,223(a)(7) Refi of 223f Nursing/ ICF,None,183,Family & Elderly,Family,KOO,Pittsburgh,POINT (4498229.9371647565 -15635367.99216101),POINT (4498229.9371647565 -15635367.99216101)
800313598,513225,-79.72271060634469,40.60865612055818,R,Allegheny,42003,18,42018129236,800473183,Cheswick,1366 Glenbrook Court,582 Linda Row,Weslaco,PA,15890,179,479,Insured-Subsidized,Clair Black,(412) 733-5078,235078,1996-11-10,54785611,2058-09-14,202/8 SR,None,335,Elderly,None,RRQ,Pittsburgh,POINT (4520534.921139689 -15363346.080049803),POINT (4520534.921139689 -15363346.080049803)
800081893,823731,-80.08239420920508,40.32885746249133,R,Allegheny,42003,13,42053797147,800866369,Baldwin,931 James Road,1201 Sixth Court,Des Plaines,PA,58567,197,576,Insured-Unsubsidized,Will Gaines,(412) 575-7966,318411,1991-12-05,8820938,2055-05-06,202/8 NC,None,233,Elderly,Family,LII,Pittsburgh,POINT (4489387.876999046 -15591747.593426486),POINT (4489387.876999046 -15591747.593426486)
800857953,857460,-80.31889774169579,40.490354058130485,R,Allegheny,42003,16,42078111358,800994264,North Versailles,287 Tenny Creek,602 Whipple Bridge,Farmington Hills,PA,23831,430,14,Insured-Unsubsidized,Arnulfo Watkins,(412) 337-9148,096179,2010-09-01,104137048,2042-02-10,223(a)(7) Refi of 223f ALF,None,107,Elderly,Elderly,JRW,Pittsburgh,POINT (4507365.595790443 -15746441.916955328),POINT (4507365.595790443 -15746441.916955328)
800916650,368054,-79.96846688712631,40.2227437322138,R,Allegheny,42003,12,42032608090,800572220,Bellevue,WWW Realty,616 Steiner Plaza,Gloucester,PA,96182,59,344,Insured-Unsubsidized,Delbert Foreman,(412) 597-9823,881568,1980-03-06,33034670,2039-05-05,223(a)(7) Refi of 223f Nursing/ ICF,None,109,Indv. families - not eld/ handicap	,Elderly,ZMU,OHP,POINT (4477575.350578376 -15518527.852698507),POINT (4477575.350578376 -15518527.852698507)
