lihtc_project_id,normalized_state_id,hud_property_name,property_street_address,city,state,zip_code,state_id
PAA39630052,PAA94338417,1056 Bob Kaufman Hills,272 Sunrise Gardens,San Fernando,PA,92999,PAA13057100
PAA90442777,PAA51721044,Trinity Industries Inc.,1325 Bay Bridge,Lake Charles,PA,56651,TC9380-3889
PAA80529458,TC0802-8587,1008 Sanches Square,1272 Tompkins Loop,Pontiac,PA,34027,PAA76982976
PAA73604764,TC1579-5921,936 Graham Field,1077 Glenview Turnpike,Huntington Beach,PA,94989,TC0713-9274
PAA52508773,TC3950-3644,591 Christopher Court,183 Sproule Gardens,Alsip,PA,11272,TC1030-6381
PAA20928476,PAA91211271,815 Abbey Hills,1057 Stockton Drive,Cedar Falls,PA,96238,TC6888-7833
PAA42128475,TC2805-2675,Russell Stovers,455 Hemlock Place,Homestead,PA,68102,PAA28541160
PAA39761387,PAA52195927,1065 Seal Cove Cove,1027 West Crystal Cove Pine,St. Cloud,PA,79128,TC9749-5749
PAA82612460,PAA81178426,DiC Entertainment,570 John Rapids,Hinesville,PA,54092,PAA03937541
PAA99505721,TC1088-5154,358 State Freeway,1169 Thomas Mellon Extension,Oklahoma City,PA,72993,PAA63228400
PAA87084729,TC5445-6805,Continental Airlines,785 Blatchford Run,Chelsea,PA,91804,PAA54477218
PAA96592444,TC1289-7911,534 Angelos Street,540 Tulare Pine,Walnut Creek,PA,35473,PAA71689685
PAA36169659,TC8451-9914,1237 Kennedy Bypass,455 Adele Lake,Redwood City,PA,61075,PAA00775667
PAA43955404,PAA56253693,1015 Kempton Station,943 Jones Route,Easley,PA,82053,TC8118-9167
PAA74849046,TC0520-9114,Wahl Clipper,1052 Sears Manor,North Port,PA,86021,PAA36800400
PAA63938278,PAA97110014,56 El Plazuela Garden,523 Sparta Viaduct,Elmhurst,PA,26309,PAA74833362
PAA77491980,PAA43297167,Bebo,245 Pratt Landing,Delray Beach,PA,47840,PAA92693895
PAA69286191,TC8843-7480,Castle Realty,1260 Arballo Run,Woburn,PA,12243,PAA60069618
PAA14011808,TC7242-8003,DRS Technologies,159 Minerva Ferry,Mesa,PA,38831,PAA44166682
PAA87238161,PAA66346154,32 Graystone Pass,740 Danton Plaza,Little Elm,PA,43879,TC3536-5531
PAA65612881,PAA71979326,Service Corporation International,18 Upland Cove,Lynnwood,PA,17349,PAA31727428
PAA05792860,TC4381-3373,1203 Arnold Canyon,785 El Sereno Rapids,Winter Haven,PA,30409,PAA96391815
PAA58865352,PAA98590355,1260 Forest Route,762 Incinerator Alley,Flagstaff,PA,41972,TC5624-3727
PAA21926791,PAA33526555,Blockbuster Inc.,827 Lapham Street,Littleton,PA,14450,TC8346-4182
PAA95836184,TC1386-5078,274 Public Pine,148 Columbia Square Pass,Kennesaw,PA,60023,TC6315-4458
PAA62264209,TC7566-3350,1136 Palmetto Route,319 Mclaren Highway,Poplar Bluff,PA,71728,TC5576-4342
PAA09912491,TC5496-8190,AMC Entertainment,501 Vicente Bypass,Coppell,PA,26811,TC2535-2510
PAA00675105,TC3655-8004,American Family Insurance,208 Rhine Landing,Germantown,PA,46457,TC0608-9584
PAA55175255,PAA93141198,Limited Brands,477 Saroyan Viaduct,Clarksdale,PA,33489,PAA41221514
PAA64268846,TC5713-9087,1261 Eureka Path,1308 Bonita Shore,Victoria,PA,98561,TC2163-1213
PAA42003483,TC4131-2681,1130 Archer Highway,1272 Mercato Ranch,Manitowoc,PA,90769,PAA33726334
PAA83020514,PAA41344468,Aflac,1194 Cochrane Walk,New Philadelphia,PA,64211,TC3412-7384
PAA64251825,TC7410-5802,209 Sfgh Access Manor,397 Mayflower Hills,Chaska,PA,45223,PAA15139277
PAA14705771,PAA39260870,724 Carrizal Highway,309 Jose Sarria Crescent,St. Clair Shores,PA,34812,PAA99763818
PAA50666829,TC9142-1397,324 Mullen Pine,409 Hopkins Boulevard,Rolla,PA,25875,TC4662-6439
PAA27624535,PAA08051249,420 Marengo Spur,161 Pemberton Place,Queen Creek,PA,53412,PAA41356098
PAA60945417,TC7574-6829,Gibson Guitar Corporation,1225 Thorp Landing,Santa Clara,PA,83344,PAA01830260
PAA47318336,PAA65213278,876 Brookdale Hills,185 Cordova Park,Cary,PA,09769,PAA81815021
PAA10004775,TC7326-9899,281 Harlem Place,100 Hunter Landing,Perris,PA,99861,TC0963-5624
PAA52497347,TC8747-1231,Quality Merchant Services,599 Mono Lodge,Herriman,PA,97942,TC4579-2002
PAA88202702,PAA49480195,700 Todd Row,516 Cuesta Motorway,Marshalltown,PA,59842,TC0319-5247
PAA11497412,TC1568-9005,Interstate Batteries,1282 Old Decatur Spur,Lumberton,PA,26210,PAA74354039
PAA15192157,PAA53966854,699 Amatista Grove,551 Capra Square,Royal Palm Beach,PA,39887,PAA53022594
PAA33180057,PAA15504087,592 Palace Of Fine Arts Road,599 Magellan Estate,Pampa,PA,53121,TC6341-1385
PAA40147772,PAA43955282,477 Curtis Landing,329 Warner Expressway,San Clemente,PA,72193,PAA88023195
PAA18765423,PAA70450033,DiC Entertainment,876 Golden Gate Lake,Lackawanna,PA,73292,PAA74578096
PAA58539292,PAA68988653,1101 Leland Freeway,1036 Ceres Glen,Del City,PA,57643,PAA41978998
PAA39544233,TC6442-2561,Texas Instruments,292 Calvert Route,Monroe,PA,00100,PAA80186249
PAA28628278,TC4508-2113,Total Sources,1238 Chabot Pass,Goodlettsville,PA,77556,PAA05528838
PAA34017540,PAA04072874,EnviroSource Design,1329 Harbor Expressway,St. Louis,PA,22187,TC4311-1542
PAA53226925,PAA44478658,1299 Oak Hills Stravenue,1041 Ramona Gardens,Park Forest,PA,11368,PAA98796913
PAA35728574,PAA88129862,Boyd Gaming,569 Ellsworth Walk,Florissant,PA,27614,PAA53019565
PAA17182394,TC4657-5079,Prestiga-Biz,903 Jack Balestreri Ferry,Enterprise,PA,37187,PAA41007540
PAA31578562,PAA23483980,1278 Highland Bridge,613 Shrader Ferry,Windsor,PA,80202,PAA81068479
PAA86476316,TC6052-6076,Goodrich Corporation,234 Havelock Terrace,Jacksonville,PA,77209,TC8885-1826
PAA38036444,PAA93722770,Duke Energy,664 Rincon Alley,Rio Rancho,PA,59824,TC3727-4652
PAA67892543,TC5129-3708,Personal & Corporate Design,285 Myrtle Lake,St. Peters,PA,56600,PAA57709416
PAA25668512,TC1305-0262,Sistemos,1265 Kohler Spur,Augusta,PA,00925,PAA27000128
PAA30846264,PAA24695910,1060 Towerside Heights,1210 Whitecliff Gardens,Fort Walton Beach,PA,37358,TC8581-6998
PAA32203117,TC1605-6792,25 Jordan Park,84 Tapia Boulevard,Peekskill,PA,74275,TC0705-6584
PAA64399703,TC4664-9194,660 Roselyn Point,324 Legion Of Honor Trail,New Bern,PA,18254,TC8590-1463
PAA13462150,TC8314-1623,Integra Investment Service,1381 Bosworth Ferry,Sedalia,PA,53311,PAA24362779
PAA02781522,TC9667-4480,440 Washington Cove,597 Arco Grove,Milpitas,PA,74747,PAA07111221
PAA45914438,PAA06578088,Vizio,679 Madrone Stravenue,Rochester Hills,PA,03540,TC9835-9519
PAA22444530,TC4683-7008,Avon Products,232 Knockash Annex,Manhattan,PA,73293,TC3857-8927
PAA37770721,PAA94082071,Reliable Garden Management,1387 Clay Point,St. Cloud,PA,78728,PAA46170809
PAA74458420,PAA11364306,510 Hanover Grove,312 Sloat Crescent,Irving,PA,04160,TC5015-8572
PAA78310141,PAA05390836,166 Victoria Motorway,650 Rolph Square,Taunton,PA,03109,TC3973-8238
PAA40379831,TC6548-0387,Cognizant Technology Solutions,995 The Embarcadero Circle,Cape Girardeau,PA,94372,PAA85380584
PAA17714908,PAA78389584,BB&T Corporation,89 Sweeny Landing,Richmond,PA,52951,TC9677-3595
PAA50678275,PAA07364569,Environ Architectural Design,1366 Bright Creek,Port Chester,PA,88766,PAA80317238
PAA33967628,PAA21530051,One-Up Realty,1351 Bromley Bend,Denver,PA,21944,PAA99871756
PAA84044267,TC0559-8073,1051 Badger Center,334 Gaviota Landing,Woodland,PA,61653,TC9223-4875
PAA77643583,PAA50854169,Advanced Micro Devices,1023 Sloat Garden,Ennis,PA,36680,TC0846-1739
PAA53739384,TC6496-7228,Stratabiz,480 Detroit Ranch,Ottawa,PA,48773,PAA67168509
PAA89898440,PAA15618750,Allergan,563 Parque Park,Rocklin,PA,06434,TC4001-1082
PAA88662947,PAA43628230,636 Georgia Station,179 Weatherly Lane,San Bernardino,PA,57746,PAA54657749
PAA15988379,PAA98197896,Integra Design,176 Cotter Run,Delray Beach,PA,46302,TC4642-1093
PAA97927822,PAA82919984,1134 Newcomb Field,145 Franklin Loop,Downey,PA,26844,PAA90904974
PAA34247871,PAA27975968,1093 Chase Bridge,1097 Pond Park,Gaithersburg,PA,90035,PAA11556512
PAA64968379,TC5420-3821,383 Myrtle Gardens,492 Revere Manor,Rosemount,PA,17195,PAA85788559
PAA12569580,PAA33976731,1234 Walkway Landing,1232 Getz Extension,Watertown,PA,27762,TC1889-6183
PAA98992843,TC9703-5898,544 Gould Grove,999 Lapham Trace,Winter Springs,PA,10312,PAA73632588
PAA16488454,PAA52844148,Ameriprise Financial,94 Mccoppin Trail,Waterbury,PA,65479,PAA82739131
PAA56314644,PAA20581976,714 Rome Circle,815 Frederick Mews,National City,PA,77603,TC9212-4222
PAA07596523,PAA12453295,Alert Alarm Company,992 Candyland Hill,North Ridgeville,PA,88447,PAA46058143
PAA97777644,TC3911-5061,715 Avenue H Alley,1331 Elm Estate,Elmhurst,PA,22398,TC4584-0772
PAA02848534,TC1645-5827,Danaher,803 Prospect Drive,San Clemente,PA,21931,TC9663-8976
PAA96561474,TC8011-2842,Danaher,826 Transbay Loop Circle,Chino,PA,25357,PAA29482061
PAA26992234,TC6188-5867,1043 Madera Rapids,1054 Rockland Extension,San Francisco,PA,33465,PAA48266051
PAA43502232,PAA73006320,Novell,1255 Clarion Station,Ann Arbor,PA,95167,PAA53515973
PAA02469792,PAA11532547,Kerr-McGee,456 Kenwood Path,Willoughby,PA,01496,TC9806-1322
PAA30232208,TC8614-8125,Avant Garde Appraisal,616 Montclair Hill,Frisco,PA,51389,PAA04816369
PAA05634080,TC2944-0988,262 Sibert Pine,25 Levant Pine,Warwick,PA,46193,TC4568-8329
PAA01055087,PAA69037925,67 Carrie Alley,617 Lily Junction,Brookings,PA,30483,PAA44244068
PAA40893428,TC1574-5046,592 Circular Trail,561 Gerard Lane,Anacortes,PA,27503,TC6351-3765
PAA71451049,TC1929-6571,1104 Catalina Ferry,1263 Sparrow Cove,Hazel Park,PA,36842,PAA42411127
PAA80915351,PAA61782910,696 Allen Spur,1299 Scenic Heights,Grand Rapids,PA,43778,PAA26336884
PAA57452509,TC9371-3802,135 Middlefield Drive,17 Moss Plaza,Emporia,PA,06254,PAA52424579
PAA76968248,PAA03758907,443 China Basin Plaza,636 Crossover Grove,Royal Oak,PA,43038,TC4959-0089
PAA91207105,TC2598-1099,641 Rossmoor Alley,1199 Greenough Ranch,Camden,PA,53528,PAA26810277
PAA89266516,TC5340-2166,The Independent Planners,772 Vista Verde Viaduct,Port Arthur,PA,14605,PAA57562320
PAA59556504,PAA32970189,949 Ozbourn Glen,762 Catherine Place,Greeley,PA,65837,TC5704-4495
PAA32284568,PAA38508223,Plan Smart,379 Samoset Glen,Kannapolis,PA,87638,PAA81278254
PAA40346322,PAA23258232,Sauer-Danfoss,680 Martha Row,Burien,PA,28317,PAA61298131
PAA91357447,PAA82768059,Adaptaz,627 Ozbourn Mall,Fairview Heights,PA,87650,TC6874-1716
PAA98881431,PAA19333538,Red River Broadcasting,394 Worden Boulevard,Monroeville,PA,76136,TC5005-4015
PAA67824042,TC8027-4463,338 Baden Crescent,119 Colusa Viaduct,Bradenton,PA,85057,PAA94562558
PAA78988222,TC2625-0748,A Plus Lawn Care,695 Royal Center,Davenport,PA,18577,TC9422-5879
PAA70806011,PAA12567052,384 Western Shore Ranch,783 Idora Pike,Pinole,PA,74199,PAA37378800
PAA03363802,PAA09745450,818 Topaz Annex,946 De Boom Place,Auburn Hills,PA,33938,PAA84995286
PAA93048860,TC3874-2408,Prestiga-Biz,967 Nueva Bypass,Pinecrest,PA,89635,TC1472-0538
PAA57767747,TC0947-4046,AutoZone,1135 Mount Vernon Circle,Stafford,PA,68393,TC7383-7417
PAA15246449,TC9176-2163,1113 Lafayette Route,690 Fontinella Green,Elko,PA,29132,PAA28061714
PAA30914049,PAA55867196,Brightpoint,1251 Calgary Cove,Altus,PA,45581,PAA36422365
PAA45223432,PAA33952746,608 Diaz Cove,608 Music Concourse Loop,Goodlettsville,PA,84682,PAA99365874
PAA77827356,PAA41859445,Continental Airlines,220 Petrarch Lodge,New Berlin,PA,99282,PAA47296305
PAA46737124,PAA04848250,570 Majestic Street,781 John F Shelley Junction,Naugatuck,PA,71732,PAA67769012
PAA48527591,PAA50896924,Vitamax Health Food Center,1356 Blackstone Gardens,Whitehall,PA,73392,TC1357-4785
PAA27517137,PAA20274234,915 Westgate Field,835 Aspen Terrace,Muscatine,PA,88340,PAA56066770
PAA91701526,TC2322-4647,1023 Gellert Boulevard,1286 Avenue N Plaza,University Place,PA,81252,PAA77558180
PAA47863042,TC0925-9521,155 Orchard Pine,1133 Fourth Green,Westlake,PA,42477,PAA34256050
PAA92767130,TC4755-8540,395 Lucerne Ferry,1277 Elsie Plaza,Gastonia,PA,99778,TC3456-3626
PAA84049959,PAA89010884,1356 Westmoorland Junction,233 Linden Lane,West Bend,PA,39695,TC3214-1423
PAA11212987,PAA76511649,eBay,658 Jersey Street,Palo Alto,PA,21895,PAA19141962
PAA61172827,TC5663-5720,395 Wills Green,1373 Cresta Vista Square,Keller,PA,08866,TC5770-5073
PAA06148374,TC5511-8548,Hunt Petroleum,758 Ohlone Highway,Decatur,PA,11803,TC7087-1693
PAA48686069,PAA93751974,896 Decker Estate,740 Harold Green,Bloomington,PA,85255,PAA95889451
PAA91117921,TC1527-8312,562 Seward Green,1166 Toll Plaza Tunnel Arcade,St. Joseph,PA,73553,TC6430-6366
PAA29549315,TC0713-2310,Chugach Alaska Corporation,368 Craut Hill,Bell Gardens,PA,03836,PAA17408413
PAA75036858,TC6800-9878,Life Map,541 Bush Annex,Fountain Hills,PA,59732,TC8250-2267
PAA36420540,TC0915-0983,442 Scott Arcade,1219 Ingalls Trace,Ventura,PA,49286,PAA52525443
PAA16490727,PAA96136507,77 Ward Crescent,762 Vara Drive,Melbourne,PA,25952,PAA16576222
PAA16060821,PAA63055349,376 Decker Point,1240 Boylston Park,Bend,PA,99866,PAA23694993
PAA03769163,TC1301-0008,955 Avenue B Viaduct,971 Merrimac Highway,Chicago Heights,PA,21039,TC1312-9158
PAA40471275,TC7608-3547,434 Urbano Circle,119 Laguna Honda Field,Honolulu,PA,53413,TC6387-8893
PAA34610347,PAA13038722,Air Products & Chemicals,702 Fair Bypass,Sebastian,PA,39888,TC7378-4926
PAA60110603,PAA02008961,374 Vista Trace,582 Mendell Green,New Bedford,PA,67279,PAA46916255
PAA15590064,PAA02171679,650 Forest View Spur,992 Mccoppin Junction,Clovis,PA,30977,PAA16609074
PAA84725021,TC3298-3270,Fluor Corp,486 Krausgrill Annex,Prattville,PA,62519,PAA94864346
PAA95112715,PAA44617032,CNA,672 Peabody Manor,Coon Rapids,PA,71931,TC5601-4413
PAA40131282,PAA13221747,Firestone Tire and Rubber Company,225 Woodward Ferry,Hemet,PA,95668,PAA15302281
PAA74843764,PAA93629624,BlueLinx Holdings,326 Clinton Point,Hudson,PA,82057,PAA44636997
PAA27371573,PAA73973492,QuickTrip,759 Crestlake Park,Grand Prairie,PA,83439,PAA40961396
PAA73347328,PAA77866414,Benchmark Electronics,1016 Vesta Bypass,Beckley,PA,59170,PAA73979005
PAA28130048,PAA91624099,Matrix Interior Design,992 Steiner Motorway,Eureka,PA,45843,TC0776-5934
PAA81917630,PAA28399126,659 Barnard Trace,499 Redondo Point,South Salt Lake,PA,87866,TC5887-3408
PAA18471984,PAA23972101,474 Stratford Mews,1129 Detroit Junction,Binghamton,PA,01931,TC7498-4023
PAA24554295,PAA40471197,Omni Group,298 Battery East Mall,Cedar City,PA,17072,PAA70527383
PAA19769127,PAA64836019,795 Waterloo Ranch,56 Bridgeview Glen,Pontiac,PA,16897,TC0918-5473
PAA61983322,TC8349-7935,EnviroSource Design,477 Woodland Trail,Cookeville,PA,61056,TC4372-3195
PAA87581218,PAA43571862,Benchmark Electronics,1172 Crags Grove,Chowchilla,PA,85500,PAA71543287
PAA68719939,PAA62363235,600 Helena Landing,1032 Taber Glen,Saratoga,PA,30340,PAA00031976
PAA95299148,TC7033-2036,"Yum! Brands, Inc.",1047 French Avenue,Kalamazoo,PA,57919,TC6145-8761
PAA55866780,PAA80843759,Gibson Guitar Corporation,158 Hollis Court,Tempe,PA,87288,TC7578-3479
PAA47569456,PAA39224020,1353 Florence Canyon,1226 Ellert Station,Springville,PA,10725,TC5426-1735
PAA59153141,PAA09548426,American Eagle Outfitters,813 Presidio Freeway,Boynton Beach,PA,10421,PAA06657572
PAA58218419,TC2290-2953,840 Hagiwara Tea Garden Annex,811 Letterman Boulevard,New Hope,PA,64160,PAA52983991
PAA78258019,PAA33471257,1346 Shoup Mall,775 Trenton Freeway,South Burlington,PA,92846,TC6081-4211
PAA18651953,PAA82251421,Magna Consulting,1286 Mansfield Bayou,Rosemead,PA,07953,TC1278-7002
PAA13753402,TC4880-8103,832 Goettingen Park,228 Dolphin Walk,Elyria,PA,34688,PAA94364807
PAA62623898,TC0023-1555,311 Constanso Ferry,142 Bass Station,Granite City,PA,41037,PAA42263670
PAA46349326,PAA78686861,ExxonMobil,902 Eastman Bypass,Merrillville,PA,43647,PAA35972055
PAA81814962,PAA95915506,1199 Esmeralda Shore,1250 Ford Bridge,Algonquin,PA,37701,TC8294-6488
PAA08426001,TC6600-8971,204 Stratford Creek,3 Leo Alley,Woonsocket,PA,24525,PAA90450838
PAA43459621,PAA01071709,495 Wool Shore,1097 Welsh Court,Richland,PA,46025,TC9616-3672
PAA73216043,TC6384-7715,Asian Plan,640 Santa Rosa Green,Oakdale,PA,48723,TC7672-8513
PAA19485460,TC5085-2614,Jimmy John's,381 Rodriguez Road,Dunedin,PA,59992,TC5796-0834
PAA91362345,TC8280-7219,Lazysize,544 Maddux Garden,Bowling Green,PA,19160,PAA01753577
PAA40273562,TC1299-1901,663 Everglade Heights,117 Anthony Place,Taylor,PA,48804,PAA65066515
PAA74763886,PAA27082654,342 Mersey Mews,1367 Smith Pike,Lincoln,PA,29049,TC5774-7778
PAA99736038,PAA72138745,782 Paramount Lodge,623 Dr Tom Waddell Stravenue,Elyria,PA,05792,TC1315-5493
PAA14016664,TC9630-8102,Renys,373 Lippard Heights,Evansville,PA,03789,TC0419-2190
PAA55176462,TC6276-8459,Belle Ladi,1364 San Gabriel Run,Grants Pass,PA,36662,TC5608-8160
PAA83993456,TC1407-8037,1181 Brady Lodge,1226 Avenue Of The Palms Terrace,Austin,PA,29871,TC1757-8980
PAA45078105,PAA49339183,Werner Enterprises,1095 Laidley Road,Raleigh,PA,71576,PAA73316395
PAA75611018,PAA96099210,574 Perasto Loop,259 Myrtle Pike,Richmond,PA,53865,TC0852-1787
PAA16483029,PAA39134512,431 Kensington Gardens,1308 Beckett Center,Alton,PA,13228,PAA52130808
PAA20721491,TC9626-4161,Maxi-Tech,13 Security Pacific Extension,Clarksville,PA,70101,PAA80897311
PAA43009845,TC6918-2277,575 Margrave Freeway,338 Dunshee Drive,Woodridge,PA,47009,TC2671-7016
PAA45580337,PAA42911921,973 Livingston Bridge,1276 Milton Trace,Ridgecrest,PA,56904,TC1555-2435
PAA44492823,PAA23111008,Vaughan & Bushnell Manufacturing,551 Rhode Island Alley,Twentynine Palms,PA,07303,TC5377-4513
PAA73505375,PAA01950239,Autodesk,529 Vicksburg Mews,Glenview,PA,63635,TC6356-5064
PAA15460578,PAA15903091,89 Friedell Walk,657 Bradford Trail,Gurnee,PA,64512,PAA20596218
PAA84481209,PAA25840946,554 Escolta Junction,857 Gerke Pass,Golden,PA,06309,PAA95652240
PAA91746834,TC8284-1484,Darden Restaurants,969 R Turnpike,Selma,PA,76985,PAA83355347
PAA90352901,PAA60397815,Chevron,42 Catalina Mall,Coralville,PA,39450,PAA84279367
PAA96742506,TC6841-1149,Formula Gray,1386 Converse Hill,Santa Ana,PA,95379,PAA27357534
PAA45793038,PAA96399203,Desert Garden Help,772 Maynard Lodge,Morganton,PA,31085,TC7580-2245
PAA56366277,PAA38533367,1121 Cragmont Crossing,566 Gould Terrace,Pueblo,PA,50362,PAA74442518
PAA62377316,PAA12872127,66 Downey Creek,52 San Benito Annex,Oakley,PA,19943,TC2290-3248
PAA46300220,TC9009-3793,Grade A Investment,516 Raymond Cove,Hurst,PA,75418,PAA81332663
PAA43567403,PAA41714834,216 Catherine Circle,1201 Belmont Pass,Wake Forest,PA,67810,PAA14522831
PAA59483031,PAA58642194,Life Map,633 Welsh Crescent,Tempe,PA,79171,TC6981-3712
PAA66033131,TC9226-1948,832 Dormitory Motorway,986 Davidson Bend,Tulare,PA,70751,PAA72164432
PAA70053078,TC7251-9352,ManPower,1245 Storey Crescent,Batavia,PA,59127,PAA79356190
PAA69710928,PAA42954164,Antec,15 Division Bend,Kettering,PA,86973,PAA52096215
PAA51810333,TC5602-8826,Arbitron,1246 Norwich Pass,Harrison,PA,24807,PAA34358420
PAA77167303,PAA65873025,Eli Lilly and Company,365 Palou Alley,Grand Forks,PA,21791,TC4518-2871
PAA31805430,PAA80724354,461 Delaware Estate,33 Coldspring Hills,Santa Barbara,PA,80243,TC6668-8261
PAA30211440,TC7018-8554,Independent Wealth Management,530 Warren Loop,South El Monte,PA,11491,PAA61989111
PAA90097048,TC0768-3871,Rockwell Automation,211 North Van Horn Manor,Thomasville,PA,34300,TC0923-8725
PAA05069795,TC0160-6248,Blockbuster Inc.,131 Bernard Lane,Grand Forks,PA,66698,TC5290-9096
PAA68299241,PAA10246855,271 Tapia Terrace,1332 Cloud Street,Piqua,PA,59749,PAA09108862
