lihtc_project_id,normalized_state_id,latitude,longitude,census_tract,census_tract_2000,county_fips_code,municipality_fips,hud_property_name,property_street_address,city,state,zip_code,units,assisted_units,count_0br,count_1br,count_2br,count_3br,count_4br,federal_id,state_id,lihtc_credit,lihtc_construction_type,lihtc_year_allocated,lihtc_year_in_service,lihtc_amount,fmha_514_loan,fmha_515_loan,fmha_538_loan,scattered_site_ind,geom,geom_webmercator
PAA92188606,TC3659-8305,40.58967950229045,-79.8744854265797,42005485565,42089965666,42007,1962740,250 Poppy Annex,638 Gladstone Spur,Liberty,PA,75840,171,595,98,36,30,78,5,PAA79291331,PAA64426714,None,Acquisition and Rehab,2017,2023,None,False,False,,N,POINT (4518422.453657147 -15458743.95732925),POINT (4518422.453657147 -15458743.95732925)
PAA63597285,TC8012-3119,40.2986742457017,-79.84125304755395,42071578029,42043022453,42006,8118294,OPOWER,638 Josepha Glen,Pleasant Grove,PA,76956,418,252,313,125,3,84,67,PAA28368268,PAA80537363,70 percent present value,New construction,2001,1985,None,False,False,True,N,POINT (4486027.896675521 -15437735.37016183),POINT (4486027.896675521 -15437735.37016183)
PAA81559113,PAA84307565,40.45007255043865,-80.27065898636631,42087797164,42075260995,42007,9609512,Eddie Bauer,266 Ingleside Gardens,Chico,PA,79881,258,506,398,173,53,92,8,PAA36677220,TC8677-2409,Both,Acquisition and Rehab,1992,2023,None,False,True,False,Y,POINT (4502881.478865803 -15714587.90209397),POINT (4502881.478865803 -15714587.90209397)
PAA82908198,TC8788-1433,40.3587742121791,-80.07752986129553,42057640157,42060703374,42008,6828395,Columbia Pictures,180 Genoa Lodge,Millbrae,PA,41095,224,288,308,65,92,11,64,PAA31215072,PAA54345740,Both,New construction,1990,1997,None,True,False,False,Y,POINT (4492718.194340478 -15588604.356679577),POINT (4492718.194340478 -15588604.356679577)
PAA68377188,PAA49222725,40.40945488383165,-80.03800734628705,42034338927,42025486804,42001,4022563,Indiewealth,143 Dichiera Loop,Grandview,PA,44760,80,334,375,50,59,65,39,PAA60900041,TC7866-2647,None,Acquisition and Rehab,1995,1984,None,,False,,N,POINT (4498359.940901902 -15563122.163492706),POINT (4498359.940901902 -15563122.163492706)
PAA84765195,PAA96236928,40.543188172320136,-80.04216961759302,42000749375,42095186596,42006,9004542,477 Farnsworth Boulevard,575 Yacht Gardens,Tallahassee,PA,47800,527,117,299,190,40,92,25,PAA17452774,TC2406-8449,None,Acquisition and Rehab,2002,1987,None,,,False,N,POINT (4513247.06247855 -15565801.07404935),POINT (4513247.06247855 -15565801.07404935)
PAA96596750,PAA61594015,40.45137406675227,-80.27937589806967,42005488986,42030802230,42006,5787399,665 Gerard Manor,866 Tioga Parkway,Monroe,PA,43809,30,489,136,181,44,26,33,PAA17077509,PAA46876507,70 percent present value,New construction,2021,1982,68074,,False,True,Y,POINT (4503026.362999096 -15720332.438413978),POINT (4503026.362999096 -15720332.438413978)
PAA43769775,PAA00300239,40.675119549054926,-79.96131300017521,42008965315,42080341447,42007,1913090,1145 Saul Arcade,709 Ozbourn Manor,Huntley,PA,75533,611,296,329,81,10,20,5,PAA00013002,TC1876-7600,Both,Acquisition and Rehab,1992,2020,None,,True,False,Y,POINT (4527933.5961563215 -15513957.639352815),POINT (4527933.5961563215 -15513957.639352815)
PAA37863770,PAA66426539,40.58138042942556,-80.1928288722549,42023234215,42071376431,42007,8763952,Schoep's Ice Cream,676 Front Pine,Emporia,PA,32020,442,507,301,176,54,67,42,PAA05106719,TC3024-3199,30 percent present value,Acquisition and Rehab,2006,2015,50671,,False,True,N,POINT (4517498.605091771 -15663521.802505095),POINT (4517498.605091771 -15663521.802505095)
PAA62646306,TC5301-4583,40.42689334335968,-80.29699098323339,42018332666,42054203992,42003,3138303,773 Fredson Manor,1372 English Canyon,Raymore,PA,32331,559,297,293,51,26,38,30,PAA66286451,TC7096-3708,30 percent present value,Acquisition and Rehab,1985,1981,26233,True,False,,N,POINT (4500301.181336781 -15731956.55284446),POINT (4500301.181336781 -15731956.55284446)
PAA26732295,TC8727-0107,40.444007199646826,-80.2551690955578,42011881303,42041640164,42009,9700729,Miro Technologies,73 Scotia Lodge,Lakewood,PA,61027,467,383,8,147,94,99,9,PAA87904747,PAA50004843,Both,Acquisition and Rehab,2001,2002,79728,,,,Y,POINT (4502206.287104175 -15704392.466577522),POINT (4502206.287104175 -15704392.466577522)
PAA35405656,PAA88423419,40.3915654904719,-79.962458315516,42032168509,42057301915,42004,1693841,1014 Vandewater Lake,1017 Ash Mall,Murray,PA,59891,485,514,115,163,34,92,59,PAA07414165,PAA21378376,70 percent present value,New construction,1996,1986,74894,,False,,N,POINT (4496368.502742493 -15514689.099712387),POINT (4496368.502742493 -15514689.099712387)
PAA16371851,PAA88998465,40.43660896724476,-79.90400639419262,42023052246,42078916601,42004,5780866,524 Medau Rapids,667 Robblee Highway,Utica,PA,75042,33,24,235,152,29,99,49,PAA91031922,PAA38075646,None,New construction,2015,2004,None,False,,False,Y,POINT (4501382.719640406 -15477463.599393718),POINT (4501382.719640406 -15477463.599393718)
PAA56945335,PAA60139931,40.5231708122328,-79.73910176270114,42027162926,42062870082,42003,0273061,264 Funston Bend,975 Bartlett Estate,Mobile,PA,68446,429,285,332,146,84,77,55,PAA52352664,PAA68465741,Both,Acquisition and Rehab,1986,2009,None,,,True,Y,POINT (4511018.740146602 -15373581.344246438),POINT (4511018.740146602 -15373581.344246438)
PAA82934694,TC3488-3345,40.38616550693768,-79.9311974743878,42092362738,42097871855,42009,5778889,Carnival Corporation & plc,1341 Morris Crossing,Onalaska,PA,21016,455,149,342,95,41,49,58,PAA88335407,TC8161-4403,Both,New construction,2009,2010,None,False,True,True,N,POINT (4495767.379325171 -15494753.815609694),POINT (4495767.379325171 -15494753.815609694)
PAA26508754,TC1666-8393,40.541840814328424,-79.91242151573942,42074491210,42031503679,42009,0969685,153 Archer Trace,662 Mabini Center,Homestead,PA,12902,426,580,212,122,41,52,10,PAA35674396,PAA23011790,70 percent present value,Acquisition and Rehab,2003,1990,4159,False,False,,Y,POINT (4513097.075272995 -15482809.662855903),POINT (4513097.075272995 -15482809.662855903)
PAA08027659,TC4823-7742,40.41174628790929,-80.03880274191044,42040230525,42050467502,42006,1593273,Automatic Data Processing,908 Farnsworth Pass,La Verne,PA,88129,646,378,361,99,33,1,27,PAA85569151,TC9666-5842,Both,Acquisition and Rehab,2017,2010,None,True,,True,N,POINT (4498615.018837025 -15563634.008370614),POINT (4498615.018837025 -15563634.008370614)
PAA03232022,TC2324-7987,40.53515972907925,-79.80871229247929,42071636755,42032820531,42004,2219112,Kerr-McGee,600 Delancey Canyon,Pompano Beach,PA,48680,628,275,230,6,80,76,59,PAA73207114,PAA85058542,30 percent present value,New construction,2004,2000,96611,True,True,False,Y,POINT (4512353.340265111 -15417229.800752817),POINT (4512353.340265111 -15417229.800752817)
PAA86034580,PAA39520967,40.49575200807161,-80.29077577757742,42017176139,42020008803,42009,5692599,KFC,896 Santa Fe Green,Cartersville,PA,42747,183,243,328,23,65,16,33,PAA10370793,TC0779-2404,70 percent present value,New construction,1996,2004,32986,,,True,Y,POINT (4507966.492829218 -15727852.782489793),POINT (4507966.492829218 -15727852.782489793)
PAA75201808,PAA88277258,40.4373478996149,-80.23547020495685,42020144588,42084673492,42009,7310586,1125 Rockaway Turnpike,1040 Revello Freeway,East Point,PA,41086,609,491,122,41,65,22,20,PAA33113649,TC7162-1059,Both,New construction,2014,2006,84235,True,True,,N,POINT (4501464.977215582 -15691449.82907892),POINT (4501464.977215582 -15691449.82907892)
PAA60831953,PAA70684234,40.50495393395218,-80.12862324381699,42028584233,42095205153,42007,5879855,Hastings Entertainment,123 Via Bufano Green,Ridgeland,PA,27866,222,442,117,158,80,40,24,PAA82842071,TC4902-3607,None,Acquisition and Rehab,2000,1990,68776,,False,,Y,POINT (4508990.84653256 -15621696.208695259),POINT (4508990.84653256 -15621696.208695259)
PAA71678569,TC8810-6056,40.455189748895904,-80.29559797242244,42031923705,42046182963,42003,1030573,1353 Curtis Bypass,1111 Spring Valley Circle,Auburn Hills,PA,67928,206,78,127,196,63,68,41,PAA27786377,TC7817-1098,None,Acquisition and Rehab,2011,2013,None,True,,False,N,POINT (4503451.122792353 -15731036.550610771),POINT (4503451.122792353 -15731036.550610771)
PAA48370728,TC3042-6628,40.3594101888453,-80.00795735091033,42020583688,42089747282,42005,1737615,Bosch Brewing Company,666 California Field,Oak Lawn,PA,65276,493,24,234,20,18,81,71,PAA60635224,TC3715-2081,None,Acquisition and Rehab,1988,1985,None,,,False,Y,POINT (4492788.990939116 -15543814.272731353),POINT (4492788.990939116 -15543814.272731353)
PAA76239214,TC0875-3643,40.38169787652539,-80.14679390155729,42090368022,42086540459,42004,4960881,Life Map Planners,170 Albatross Shore,Antioch,PA,80939,230,599,144,48,23,62,26,PAA82668867,TC5039-8605,Both,Acquisition and Rehab,2016,1998,None,False,False,True,Y,POINT (4495270.044982622 -15633505.762529673),POINT (4495270.044982622 -15633505.762529673)
PAA38930103,PAA37692328,40.47707882911772,-80.27811552143152,42016229095,42003618118,42001,9896172,Quality Event Planner,875 Willard Road,Radcliff,PA,80229,545,589,254,167,10,28,63,PAA18054338,TC3912-8799,30 percent present value,Acquisition and Rehab,1985,2016,None,True,False,,N,POINT (4505887.804056579 -15719501.521547068),POINT (4505887.804056579 -15719501.521547068)
PAA96861384,PAA80849790,40.51244459120494,-80.20919538528217,42054090952,42028777261,42000,9723734,Red River Broadcasting,666 Elsie Avenue,Louisville,PA,63520,669,464,260,15,68,50,31,PAA71233255,TC9578-6103,None,New construction,2005,1983,69697,True,True,False,Y,POINT (4509824.702683643 -15674226.837604588),POINT (4509824.702683643 -15674226.837604588)
PAA54624767,TC1547-8442,40.42241904668454,-80.2188692237887,42063055835,42029420559,42004,9344541,154 El Sereno Center,144 Mcnair Gardens,Bonita Springs,PA,99870,277,435,229,33,13,7,75,PAA93244485,PAA56862720,70 percent present value,Acquisition and Rehab,2019,1984,None,False,False,,N,POINT (4499803.104909246 -15680562.652954672),POINT (4499803.104909246 -15680562.652954672)
PAA14701080,PAA55467534,40.546621939468714,-79.98593657505975,42052511914,42012108085,42007,1869454,1287 Edinburgh Shore,354 Shephard Bayou,Burlingame,PA,19758,291,467,363,14,49,22,33,PAA55727492,PAA61664992,70 percent present value,New construction,1986,1997,None,False,False,False,Y,POINT (4513629.307689032 -15529701.81839685),POINT (4513629.307689032 -15529701.81839685)
PAA96669619,PAA52713053,40.4554695823809,-79.85723433170995,42010098341,42086550019,42004,1571590,278 Theresa Annex,1201 Sylvan Place,Duncanville,PA,00672,367,229,158,179,33,93,34,PAA93104789,TC7516-6151,70 percent present value,Acquisition and Rehab,2023,2003,57677,True,False,False,N,POINT (4503482.27371341 -15447829.79228961),POINT (4503482.27371341 -15447829.79228961)
PAA58544020,TC1011-2875,40.38224864471953,-80.2015638541074,42063374245,42043986212,42008,5578673,1185 Lakeshore Hill,1092 Turquoise Center,Rochester,PA,42528,576,512,158,109,70,30,71,PAA24233444,TC7854-0224,30 percent present value,New construction,1990,1990,None,,False,,Y,POINT (4495331.35621754 -15669232.990282677),POINT (4495331.35621754 -15669232.990282677)
PAA91263557,PAA55210232,40.51861443516734,-79.78128219490226,42002327204,42003261929,42001,7283891,1272 Hobart Trace,1195 Orange Hill,Wilson,PA,32392,135,186,329,83,92,54,15,PAA20072567,TC2371-5554,70 percent present value,Acquisition and Rehab,2005,2015,19255,,False,False,N,POINT (4510511.526571812 -15399994.971477216),POINT (4510511.526571812 -15399994.971477216)
PAA32637429,TC4154-2016,40.42330390087042,-80.1167331985451,42096516247,42073767309,42006,8524748,Go Daddy,1292 Kirkwood Green,Haltom City,PA,06256,147,236,198,107,74,16,45,PAA96272153,PAA21852961,70 percent present value,Acquisition and Rehab,2001,1990,92645,,,False,N,POINT (4499901.606426644 -15613980.222101647),POINT (4499901.606426644 -15613980.222101647)
PAA22198764,PAA19948776,40.41090382973399,-80.08421934975317,42035969468,42034418761,42001,9362977,1298 Alta Vista Annex,1109 Fort Funston Hills,Universal City,PA,38047,159,454,59,110,36,9,2,PAA72270589,TC9528-5571,30 percent present value,Acquisition and Rehab,2013,2013,47817,False,False,True,N,POINT (4498521.236821936 -15592927.353679309),POINT (4498521.236821936 -15592927.353679309)
PAA28116912,PAA45642721,40.37212254337036,-79.96397406161118,42052381630,42064079554,42003,7161006,Monk House Maker,1276 Delano Crossing,Palm Coast,PA,61060,263,121,74,189,86,92,25,PAA17118275,PAA52594981,None,Acquisition and Rehab,1988,2012,33345,True,,False,Y,POINT (4494204.123771629 -15515657.264212457),POINT (4494204.123771629 -15515657.264212457)
PAA20907409,PAA71401760,40.38957949404681,-79.8442764104257,42062522802,42005051418,42002,3634008,792 Beacon Manor,695 Elmhurst Pike,Claremore,PA,60923,488,249,205,200,28,20,50,PAA28539079,TC2588-4124,70 percent present value,New construction,1996,2015,None,,False,True,N,POINT (4496147.422631734 -15439643.842083348),POINT (4496147.422631734 -15439643.842083348)
PAA20523830,PAA91719328,40.36249860879024,-80.01486825251241,42021449034,42032755809,42005,7548946,1378 Hamilton Plaza,199 Diaz Lake,Chester,PA,27293,498,475,289,127,31,88,59,PAA08282999,PAA68018589,None,New construction,2009,2013,None,,,True,N,POINT (4493132.792274742 -15548249.609516423),POINT (4493132.792274742 -15548249.609516423)
PAA54742472,PAA85242804,40.65576592936466,-79.80097796283256,42078605753,42046302421,42007,9451380,198 Panorama Trace,44 Boyd Expressway,North Augusta,PA,40516,698,285,339,171,85,35,25,PAA75505693,PAA35220666,None,New construction,1988,2008,74345,False,,,Y,POINT (4525779.161067395 -15412365.539054146),POINT (4525779.161067395 -15412365.539054146)
PAA81434571,TC0424-3742,40.254640242748465,-79.80463995080702,42038068072,42086833258,42004,4756051,84 Wawona Mews,106 Rausch Estate,Santa Cruz,PA,21239,517,40,360,17,96,83,64,PAA15337003,PAA48425094,Both,New construction,2009,1984,27462,,False,True,Y,POINT (4481126.053889178 -15414668.175320785),POINT (4481126.053889178 -15414668.175320785)
PAA99691013,PAA52479914,40.35098653102607,-80.04715217026937,42082286081,42048574080,42002,1394962,961 Harlow Expressway,1380 Croaker Bridge,Lindenwold,PA,28883,213,165,127,69,5,13,1,PAA92940536,PAA69769697,None,New construction,1999,1983,70293,False,False,True,Y,POINT (4491851.273640062 -15569009.390075458),POINT (4491851.273640062 -15569009.390075458)
PAA68504877,PAA59138924,40.63512866296487,-79.76466930796315,42049338915,42003260877,42009,0419772,860 Elsie Circle,694 Bosworth Annex,Fishers,PA,62611,21,155,184,192,44,25,57,PAA32288385,TC8044-5227,None,New construction,1983,2001,54832,False,,False,Y,POINT (4523481.831080405 -15389579.034101583),POINT (4523481.831080405 -15389579.034101583)
PAA00068916,TC9820-4961,40.38243233189518,-79.7694073051441,42031678633,42077222519,42003,5300853,394 Thomas Parkway,850 Black Hill,Kennewick,PA,11854,212,345,179,82,5,64,9,PAA53920746,PAA55500659,None,New construction,1993,2013,None,False,False,True,N,POINT (4495351.804180399 -15392547.954700116),POINT (4495351.804180399 -15392547.954700116)
PAA48041334,TC8085-9988,40.38371727590537,-79.94660651095312,42063308174,42023782887,42008,8029955,128 De Forest Grove,1259 Juri Lodge,Sandy Springs,PA,87617,166,518,131,133,12,39,73,PAA33148447,TC9378-3652,None,Acquisition and Rehab,2022,2013,None,False,True,,N,POINT (4495494.843493311 -15504572.611955553),POINT (4495494.843493311 -15504572.611955553)
PAA41683588,PAA11214517,40.659150434135896,-80.09274504530045,42059502542,42004924171,42001,6368697,Dream Home Real Estate Service,857 Cedro Glen,Duarte,PA,21507,531,424,276,55,36,31,32,PAA47248370,PAA03782178,70 percent present value,Acquisition and Rehab,1982,2007,81571,,False,,Y,POINT (4526155.922415116 -15598441.162930267),POINT (4526155.922415116 -15598441.162930267)
PAA78373646,PAA38948403,40.414262646548735,-80.15755038047966,42061251597,42053380261,42003,4238980,716 Gellert Freeway,1135 Villa Plaza,Tinley Park,PA,54242,313,395,209,120,17,61,39,PAA52910382,TC1756-2051,Both,Acquisition and Rehab,2008,1992,51775,True,False,True,Y,POINT (4498895.138599422 -15640506.825411566),POINT (4498895.138599422 -15640506.825411566)
PAA74776114,PAA69304041,40.42077757281235,-79.93234224704231,42052527417,42046096753,42007,9715034,First Choice Yard Help,1338 Emerald Cove Junction,Plano,PA,18467,455,102,213,153,73,43,74,PAA48696059,TC1719-6600,None,Acquisition and Rehab,2020,1992,None,True,,False,Y,POINT (4499620.376873643 -15495482.764949284),POINT (4499620.376873643 -15495482.764949284)
PAA79203784,TC1266-5533,40.36732753345621,-80.1814878965657,42081079425,42057251578,42007,1059194,BJ's Wholesale Club,1173 Hollister Road,Nicholasville,PA,87788,353,56,36,28,10,6,1,PAA00538311,TC7143-4130,None,Acquisition and Rehab,1980,2022,3222,True,,True,Y,POINT (4493670.345709637 -15656114.250050357),POINT (4493670.345709637 -15656114.250050357)
PAA28611297,TC2322-9524,40.29153721310311,-80.0099607685328,42057600350,42061558338,42003,9936187,Friendly Advice,1202 Sunbeam Bayou,Bonney Lake,PA,68804,335,364,288,80,11,76,8,PAA41426811,PAA13359436,30 percent present value,Acquisition and Rehab,1988,2020,None,,False,,N,POINT (4485233.405840872 -15545099.730391217),POINT (4485233.405840872 -15545099.730391217)
PAA01198967,TC8174-6602,40.292865688597125,-80.0002256533465,42035143520,42093302187,42007,2081660,Specific Appraisals,522 Jules Station,Morristown,PA,63778,82,421,151,21,77,74,7,PAA21517544,TC9321-0743,30 percent present value,New construction,2020,2011,None,True,,,N,POINT (4485381.2910563955 -15538855.756025806),POINT (4485381.2910563955 -15538855.756025806)
PAA64221464,PAA45721736,40.625403409113986,-79.70351438075079,42051192152,42032119998,42006,1922763,1361 Stoneyford Green,723 Clipper Cove Center,Oak Creek,PA,23952,686,155,177,116,8,87,9,PAA54448800,PAA64522712,Both,New construction,2003,2014,84806,False,False,False,N,POINT (4522399.220773889 -15351379.734051151),POINT (4522399.220773889 -15351379.734051151)
PAA15185193,TC0830-6206,40.272953563087285,-79.80509084070046,42066506915,42079291555,42003,4239546,ConocoPhillips,268 Sycamore Estate,Radcliff,PA,90356,490,107,110,118,95,58,19,PAA35958629,PAA42577429,None,New construction,2013,1986,97998,True,False,False,Y,POINT (4483164.683384028 -15414951.748784672),POINT (4483164.683384028 -15414951.748784672)
PAA93448006,PAA83652327,40.506333189844796,-80.03749112305911,42050667256,42056304388,42002,1441280,922 Fielding Road,1390 Weldon Manor,Newton,PA,83526,406,290,255,183,27,47,14,PAA97309873,TC6045-8558,30 percent present value,Acquisition and Rehab,2020,2015,69115,False,False,False,N,POINT (4509144.384596199 -15562789.990434458),POINT (4509144.384596199 -15562789.990434458)
PAA84496273,TC1502-1323,40.476871439310024,-79.94099656751676,42021980340,42094348091,42007,5067866,1196 Bertita Trace,635 Fairfax Street,Yucca Valley,PA,62728,636,552,190,143,59,23,29,PAA40968493,TC3366-1006,Both,New construction,2015,2021,93759,False,False,True,N,POINT (4505864.71752879 -15500996.175262833),POINT (4505864.71752879 -15500996.175262833)
PAA34237318,TC9438-3685,40.6669302802945,-79.88792091218646,42006846482,42059858046,42004,8894940,537 South Park Ranch,230 Hilton Spur,Kernersville,PA,44625,650,331,271,14,6,61,59,PAA57804488,TC7453-2934,None,New construction,1989,2007,71431,False,False,False,Y,POINT (4527021.970927943 -15467256.873233536),POINT (4527021.970927943 -15467256.873233536)
PAA86259202,PAA38744974,40.378547172938156,-79.97167373520892,42058806551,42051580717,42008,9303686,Chrysler,1225 Woodhaven Trail,Shreveport,PA,34719,538,430,317,135,71,15,41,PAA66683309,TC9831-4502,30 percent present value,Acquisition and Rehab,1981,2020,79787,False,,,N,POINT (4494919.310263651 -15520577.573591618),POINT (4494919.310263651 -15520577.573591618)
PAA70153099,PAA15976860,40.503980786193885,-79.80536601529265,42092756366,42039249357,42004,3277775,Avnet,157 Dr Carlton B Goodlett Square,Schaumburg,PA,15238,397,92,150,189,82,68,52,PAA37237028,TC6084-9991,Both,Acquisition and Rehab,2017,1996,15902,,True,False,N,POINT (4508882.51621964 -15415124.817559825),POINT (4508882.51621964 -15415124.817559825)
PAA12708368,TC6813-1272,40.4763296803194,-79.90770131251186,42077583721,42009045289,42006,4592410,Copeland's,1047 Daggett Pass,South Jordan,PA,92667,18,204,68,147,77,33,63,PAA75397142,TC9865-3672,30 percent present value,Acquisition and Rehab,1980,2019,None,False,False,True,Y,POINT (4505804.409193821 -15479810.409973698),POINT (4505804.409193821 -15479810.409973698)
PAA91138665,PAA39804556,40.299298595335024,-79.99794944065393,42041674166,42085264843,42005,5083828,912 Natoma Viaduct,1070 Brooks Mall,Oceanside,PA,55200,25,450,244,183,74,51,6,PAA30925348,TC0571-6448,None,New construction,2023,1983,91227,True,,False,N,POINT (4486097.39895878 -15537396.691154813),POINT (4486097.39895878 -15537396.691154813)
PAA43276082,TC9180-6240,40.51794683200638,-79.81408151315262,42098766390,42085167227,42003,6354724,497 Clearfield Arcade,1105 Menoher Hill,Austin,PA,84559,376,8,200,14,12,49,63,PAA60993253,TC8666-5612,30 percent present value,Acquisition and Rehab,2013,2003,None,,False,True,N,POINT (4510437.209327882 -15420608.750469439),POINT (4510437.209327882 -15420608.750469439)
