property_id,hud_property_name,assisted_units,count_0br,count_1br,count_2br,count_3br,count_4br,count_5plusbr,contract_id,program_type,subsidy_start_date,subsidy_expiration_date,contract_duration_months
800574257,BNSF Railway,571,21,57,104,16,35,2,PA51CVC3748,223(a)(7) Refi of 223f Nursing/ ICF,1997-10-12,2033-07-28,503
800954154,479 Second Pine,21,236,160,231,188,41,9,PA31JLR4713,223(a)(7) Refi of 223f ALF,1984-04-27,2040-11-18,497
800787057,Formula Gray,195,13,77,152,144,87,0,PA20MIB3834,223(a)(7) Refi of 223f ALF,2019-05-19,2020-03-06,418
800363986,BorgWarner,412,169,89,60,132,93,3,PA20RFJ3437,202/8 SR,2004-10-20,2033-10-08,254
800831287,Northrop Grumman,207,214,42,87,78,1,1,PA02WEA2117,202/8 SR,1999-11-23,2040-03-12,524
800699237,482 Avery Terrace,84,82,130,112,74,85,0,PA97QUA6508,223(a)(7) Refi of 223f Nursing/ ICF,1981-01-21,2028-09-26,275
800740632,Sky High Financial Advice,48,137,178,194,143,66,4,PA76ZRY1226,202/8 NC,2020-06-11,2029-04-27,161
800738303,Fresh&Easy Neighbourhood Market,49,172,389,227,96,35,5,PA74EQJ2130,202/8 SR,2009-03-01,2035-06-25,50
800370674,681 Nadell Drive,139,124,205,35,178,64,0,PA63CJB6415,202/8 NC,2015-10-16,2041-12-06,348
800104115,874 South Park Walk,158,133,323,134,15,97,2,PA84ZMJ2407,223(a)(7) Refi of 223f Nursing/ ICF,1991-04-12,2033-06-20,36
800379488,Plan Future,272,40,125,42,76,70,2,PA85FYE3827,223(a)(7) Refi of 223f ALF,2004-10-18,2022-05-31,390
800898702,The Serendipity Dip,136,158,107,167,138,3,1,PA87XLL3147,223(a)(7) Refi of 223f ALF,2013-02-16,2034-02-24,377
800874781,Eli Lilly and Company,497,129,464,206,31,97,3,PA60QDF8225,223(a)(7) Refi of 223f Nursing/ ICF,1985-12-11,2025-04-27,382
800134073,575 De Montfort Lane,372,156,135,82,167,48,7,PA01RAG1479,223(a)(7) Refi of 223f ALF,1999-06-16,2037-07-28,57
800195675,Sexy Babe,152,13,498,158,190,77,10,PA69GLS2282,223(a)(7) Refi of 223f Nursing/ ICF,2021-10-27,2037-05-02,288
800811001,Gamma Realty,447,193,263,216,137,63,8,PA25IWV3486,223(a)(7) Refi of 223f ALF,1986-02-24,2037-02-21,63
800679904,587 Macarthur Spur,35,18,480,223,191,9,1,PA21SNB1550,223(a)(7) Refi of 223f ALF,1981-02-23,2031-08-18,64
800193934,751 Mariposa Pike,147,208,4,129,183,74,8,PA08ANC3546,202/8 NC,2014-10-11,2027-07-13,179
800708717,Zenith Electronics,272,161,438,92,85,25,3,PA25BPX8946,223(a)(7) Refi of 223f ALF,1990-05-25,2043-07-18,337
800909050,1006 Java Point,134,236,240,52,139,63,9,PA61QGG6395,223(a)(7) Refi of 223f ALF,1991-03-13,2042-06-11,418
800626104,Asbury Automotive Group,7,155,4,76,96,36,4,PA20LSP8140,223(a)(7) Refi of 223f Nursing/ ICF,1984-06-19,2024-08-01,459
800514106,377 Columbia Square Green,41,82,143,55,198,44,0,PA38VZN9239,223(a)(7) Refi of 223f Nursing/ ICF,2020-05-02,2033-06-17,621
800418898,845 Moncada Center,320,114,490,126,37,77,1,PA29KKJ3108,202/8 NC,1988-03-06,2026-01-05,585
800146312,1147 Automobile Arcade,20,1,321,188,120,53,3,PA37OKC8039,202/8 NC,1994-06-29,2021-03-16,199
800151069,Winnebago Industries,204,86,166,240,67,2,2,PA70SZE4736,223(a)(7) Refi of 223f Nursing/ ICF,1983-07-24,2028-06-18,129
800145663,Agilent Technologies,565,109,361,206,16,60,6,PA65QIJ3420,223(a)(7) Refi of 223f ALF,1986-12-28,2028-07-04,327
800530812,1024 Argent Station,112,220,370,24,124,70,3,PA14LHO8542,202/8 NC,1990-03-10,2035-01-16,336
800312338,268 Mccormick Pass,140,151,154,87,179,22,10,PA15HKA5641,223(a)(7) Refi of 223f Nursing/ ICF,2022-05-14,2041-08-11,249
800423229,1193 Adolph Sutro Creek,176,131,253,111,163,88,3,PA61RQT0988,223(a)(7) Refi of 223f Nursing/ ICF,1982-09-17,2020-02-18,598
800670597,"Ryder System, Inc.",519,5,140,146,154,48,3,PA01DBN4388,202/8 NC,1986-06-04,2036-05-24,304
800961790,Arkeia Software,312,88,226,226,72,73,4,PA18NDO5257,202/8 SR,2021-06-30,2034-04-16,563
800777690,202 Moscow Trail,221,111,397,11,145,21,0,PA63RBJ7355,202/8 SR,2005-01-24,2039-08-02,167
800470282,Pinnacle Systems,9,25,62,219,34,74,9,PA31UNU7555,202/8 NC,2000-09-27,2021-07-30,593
800577934,Growmark,440,126,303,43,6,20,0,PA54KHL5009,202/8 NC,2016-01-14,2026-03-08,358
800796710,Alliant Techsystems,323,200,249,58,39,73,2,PA12VZM4341,202/8 SR,1989-08-16,2042-05-01,465
800823350,Mauna Loa Macadamia Nut Corp.,133,233,166,117,92,7,9,PA78HXA7913,202/8 NC,2006-02-22,2034-10-08,362
800674819,AGCO,399,8,121,12,144,35,2,PA67XGF3681,202/8 NC,1997-02-19,2021-05-29,352
800842062,95 Revello Gardens,52,16,460,91,184,61,3,PA37OIF5467,202/8 NC,1989-12-20,2020-09-08,17
800735070,106 Chinook Motorway,528,164,383,37,98,87,5,PA40HEC3331,202/8 NC,1995-02-06,2037-05-29,84
800423853,315 Norfolk Heights,575,103,42,17,180,23,5,PA16FYE8673,223(a)(7) Refi of 223f Nursing/ ICF,2008-06-21,2028-05-28,160
800330071,Emerson Radio,409,135,285,85,65,80,0,PA69AQO9842,202/8 SR,2009-07-13,2034-09-08,590
800815548,Vermeer Industries,198,113,202,176,68,58,0,PA97QAM4762,223(a)(7) Refi of 223f Nursing/ ICF,1983-10-27,2037-11-08,171
800179525,103 Copper Center,166,233,265,179,81,57,0,PA23BOK3675,202/8 NC,2010-08-07,2035-08-05,638
800900178,1065 Vista Verde Drive,377,198,200,165,157,7,3,PA51HJM8413,223(a)(7) Refi of 223f Nursing/ ICF,1988-10-24,2022-05-14,613
800046806,Ashland Inc.,385,38,342,110,36,58,5,PA60WUV9118,223(a)(7) Refi of 223f Nursing/ ICF,1984-11-10,2034-01-04,62
800227977,510 Joy Green,260,181,417,248,60,71,5,PA76DDF3788,202/8 SR,2007-05-26,2020-07-29,655
800397991,1121 Bergen Ranch,496,39,310,0,75,97,7,PA54BWR0683,202/8 NC,2020-10-15,2027-11-25,67
800341086,Gore-Tex,333,230,404,199,11,52,0,PA03CAW6883,223(a)(7) Refi of 223f ALF,2003-03-31,2027-09-11,647
800449408,1374 Randall Boulevard,268,207,9,76,16,62,4,PA31IHG8199,223(a)(7) Refi of 223f Nursing/ ICF,1999-09-23,2030-09-01,146
800419245,Bio-Rad Laboratories,440,180,40,68,24,93,3,PA87ECP1612,202/8 NC,2019-10-04,2040-05-26,259
800004861,Ashland Inc.,443,153,158,185,154,90,4,PA96ZNW5171,202/8 SR,1980-04-11,2026-03-06,423
800201771,Exact Realty,401,129,153,47,154,48,8,PA94NPA5112,202/8 NC,1987-08-30,2036-08-08,490
800496420,SanDisk,425,108,284,143,114,42,10,PA96AVC5800,223(a)(7) Refi of 223f ALF,2009-02-19,2036-08-01,285
800096393,Desert Garden Help,537,7,366,162,162,38,9,PA97YYQ7706,202/8 NC,2006-08-16,2033-12-18,84
800234646,"Blyth, Inc.",352,52,426,36,30,18,0,PA19CCS1975,202/8 SR,1985-10-15,2022-08-03,93
800531570,2 Scenic Bridge,234,176,319,245,22,15,10,PA21ZGL8046,223(a)(7) Refi of 223f Nursing/ ICF,1991-06-24,2035-10-08,302
800773434,Monk Real Estate Service,298,12,66,41,124,39,10,PA69RIV3898,223(a)(7) Refi of 223f Nursing/ ICF,2004-08-08,2021-11-02,111
800008434,Rivera Property Maintenance,79,42,88,188,30,78,6,PA24SZR8544,223(a)(7) Refi of 223f ALF,2017-09-28,2022-05-02,218
800053248,Stratapro,176,160,74,152,149,19,9,PA04KLI6412,202/8 NC,1980-01-12,2028-10-22,104
800097245,380 Seville Alley,341,148,370,17,144,10,4,PA56CDG4863,202/8 NC,2010-02-06,2039-11-09,487
800889086,111 John Square,18,35,87,233,137,19,7,PA60DSO8193,223(a)(7) Refi of 223f Nursing/ ICF,2003-03-24,2022-10-17,397
800067826,244 Rossmoor Green,342,196,54,52,82,70,6,PA38VHT2219,223(a)(7) Refi of 223f ALF,1993-02-14,2027-12-19,361
800683634,Netcordia,418,145,449,80,97,58,4,PA24NSF9494,202/8 SR,2017-03-17,2039-10-30,93
800023942,672 Chatham Canyon,364,153,468,185,192,73,4,PA54NOS7260,202/8 SR,1996-12-13,2027-05-14,136
800329334,Jackpot Consultant,93,190,273,185,139,11,2,PA98KKO5964,223(a)(7) Refi of 223f Nursing/ ICF,2004-11-25,2029-11-03,422
800690742,American Axle,180,65,224,78,80,15,3,PA95KIU8130,202/8 SR,2013-11-15,2038-02-19,441
800418162,324 Newton Manor,22,16,472,88,192,69,2,PA31PXV6825,202/8 SR,1993-01-15,2026-05-13,430
800180299,622 Automobile Station,162,100,451,14,164,67,5,PA03SUU5132,202/8 NC,2017-08-26,2042-02-11,378
800003528,621 Cargo Route,430,203,131,188,12,82,8,PA75LWZ7318,223(a)(7) Refi of 223f Nursing/ ICF,2021-08-13,2036-10-08,124
800074027,1120 Rod Green,371,44,101,188,168,71,10,PA34AMX7331,223(a)(7) Refi of 223f ALF,2007-10-05,2032-02-02,91
800946881,701 Cyril Magnin Expressway,509,212,222,99,57,74,3,PA66XWF7963,223(a)(7) Refi of 223f Nursing/ ICF,2020-06-27,2022-12-21,546
800361326,342 Yukon Street,401,248,214,166,149,40,1,PA78LQG4046,223(a)(7) Refi of 223f Nursing/ ICF,2006-08-16,2029-05-02,504
800626032,731 Wyton Crescent,537,0,312,154,188,90,3,PA74XVV5397,223(a)(7) Refi of 223f ALF,1982-03-12,2035-10-22,359
800710626,781 Homer Pass,582,154,459,179,144,27,8,PA22EVT7124,223(a)(7) Refi of 223f Nursing/ ICF,2009-02-09,2043-12-16,618
800386060,El Paso Corp.,357,59,285,5,81,51,8,PA01IDP9633,223(a)(7) Refi of 223f Nursing/ ICF,2021-01-08,2039-11-04,185
800117443,Dillard's,484,146,263,151,5,26,2,PA27OVT2979,223(a)(7) Refi of 223f Nursing/ ICF,2007-06-09,2035-09-30,14
800639139,Golden Joy,504,95,222,121,164,13,9,PA94URW9970,202/8 SR,2001-10-31,2023-06-24,483
800263082,772 Cyril Magnin Extension,44,51,438,48,62,69,8,PA32LBG1289,202/8 SR,2010-05-20,2022-10-25,136
800764748,444 Church Parking Lot Field,496,76,227,103,152,26,1,PA87BVM7385,202/8 SR,2005-07-30,2026-10-20,329
800878384,Total Yard Maintenance,94,156,107,200,104,6,10,PA12BSB7781,202/8 NC,2008-09-04,2037-02-28,378
800336481,Marantz,333,209,17,82,167,1,10,PA92GOM9338,223(a)(7) Refi of 223f ALF,2018-06-12,2042-11-04,223
800705704,287 Liebig Garden,6,98,373,104,53,36,9,PA36XNU2945,223(a)(7) Refi of 223f Nursing/ ICF,1983-12-06,2020-03-11,167
800683016,80 Bluestone Bayou,223,10,140,172,124,42,8,PA63MXS4502,202/8 SR,1994-03-14,2021-10-11,525
800477153,290 Grace Avenue,298,168,67,91,48,25,3,PA41ATN2283,223(a)(7) Refi of 223f Nursing/ ICF,2017-10-06,2020-02-16,639
800562731,813 Avenue M Shore,312,240,272,150,149,94,0,PA81HVT7878,202/8 NC,2013-08-18,2020-02-22,139
800688712,Omni Group,347,146,457,147,58,72,7,PA48HZS3564,202/8 NC,2001-09-01,2036-08-20,323
800664966,Midwest Communications,523,182,450,182,185,19,1,PA08KOV7789,223(a)(7) Refi of 223f Nursing/ ICF,1998-06-20,2043-03-24,474
800504638,526 Arballo Path,567,44,165,35,125,93,0,PA65IND8020,202/8 NC,1999-07-02,2030-04-23,157
800498135,Harley-Davidson,212,21,276,195,85,57,4,PA92VHN4636,223(a)(7) Refi of 223f Nursing/ ICF,2015-03-05,2031-08-05,208
800020478,424 Lundeen Viaduct,130,104,47,224,198,69,5,PA82IYQ3320,223(a)(7) Refi of 223f ALF,1980-01-08,2029-07-04,426
800375814,711 Dormitory Pass,539,89,344,207,187,44,2,PA55VEZ8466,202/8 SR,2015-05-14,2027-02-08,583
800358066,General Dynamics,487,5,495,213,171,25,1,PA54DKX1967,223(a)(7) Refi of 223f ALF,2006-09-20,2028-12-26,404
800378709,Dick's Sporting Goods,268,165,157,161,58,15,3,PA84GTR2027,202/8 SR,1988-09-23,2026-12-22,84
800227095,National Railway Equipment Company,328,171,145,123,64,97,1,PA25FEH4103,202/8 SR,2015-12-01,2031-09-05,616
800603784,410 Hauser Plaza,539,38,265,50,52,0,7,PA24LNU4785,223(a)(7) Refi of 223f Nursing/ ICF,2004-03-15,2020-05-21,406
800927426,Perisolution,320,219,210,206,28,81,1,PA14VTS0000,202/8 NC,2000-05-02,2039-06-11,433
800687041,867 Cargo Spur,153,235,73,49,170,15,7,PA84TTL5177,202/8 NC,1995-02-23,2036-01-23,62
800364089,464 Catalina Grove,528,183,467,134,178,35,2,PA68DRT4576,202/8 SR,2016-11-15,2037-07-30,103
800949387,Maxiserve,193,167,96,62,38,14,10,PA28ZAL8661,223(a)(7) Refi of 223f ALF,2013-11-05,2030-04-13,140
800443000,1167 Blanken Rapids,193,93,13,34,46,10,10,PA33DNU1058,223(a)(7) Refi of 223f ALF,2001-03-27,2025-11-09,206
800003691,960 Addison Ferry,577,81,414,195,157,40,6,PA03EWG5351,223(a)(7) Refi of 223f Nursing/ ICF,1993-06-16,2034-10-11,67
800300662,Salary.com,236,176,66,166,63,66,4,PA03EZK2518,202/8 NC,2002-01-10,2038-12-19,296
800398201,Gold Touch,297,44,299,234,61,84,5,PA69QBD1510,223(a)(7) Refi of 223f ALF,1984-06-02,2021-10-30,659
800877980,DineEquity,414,5,142,50,69,15,4,PA42FNF9129,202/8 SR,1995-10-23,2037-03-10,506
800040293,Netgear,502,49,317,171,92,96,3,PA38ESO0577,223(a)(7) Refi of 223f ALF,1995-02-15,2030-08-06,460
800771306,Delta Air Lines,183,211,494,193,129,11,1,PA47MST3187,202/8 NC,2003-02-17,2032-12-03,234
800510207,353 Canyon Expressway,94,145,324,85,50,60,2,PA96COX5087,223(a)(7) Refi of 223f Nursing/ ICF,2009-03-27,2041-08-12,621
800621190,670 Edward Lodge,5,117,373,151,132,82,7,PA32QPW4478,223(a)(7) Refi of 223f ALF,2000-03-10,2022-08-29,156
800861781,Diebold,227,55,299,33,92,6,4,PA44JJG2372,223(a)(7) Refi of 223f ALF,2015-11-04,2022-10-27,574
800012393,Amphenol Corporation,287,74,128,141,64,81,9,PA96MBJ9175,223(a)(7) Refi of 223f ALF,1987-11-23,2036-07-29,343
800300429,427 Pratt Estate,40,70,343,106,63,98,6,PA10RSS3859,202/8 SR,2018-12-08,2035-06-29,3
800151689,Success Is Yours,388,36,221,113,96,33,1,PA79KYR7512,223(a)(7) Refi of 223f Nursing/ ICF,2001-07-07,2042-01-30,540
800603727,744 Van Ness Terrace,578,23,7,91,139,7,6,PA24AXR7763,202/8 SR,2000-04-27,2039-02-05,108
800409269,775 Edgar Mews,299,70,47,231,162,63,8,PA69DPI7180,202/8 SR,1998-07-22,2040-10-03,401
800992558,976 John Cove,449,56,326,142,31,52,4,PA95IET4730,223(a)(7) Refi of 223f Nursing/ ICF,1995-12-20,2036-06-05,193
800012631,1117 Crescent Heights,477,225,134,202,131,12,3,PA42TBQ5933,223(a)(7) Refi of 223f ALF,2002-09-16,2022-07-29,407
800807192,Calpine,330,136,461,241,100,69,9,PA80AKQ9163,202/8 NC,1990-09-20,2037-07-17,402
800941589,AMR Corporation,212,23,116,220,128,2,9,PA45AYW5392,202/8 NC,2020-06-26,2026-11-12,325
800978286,617 Commercial Park,435,44,365,77,21,80,9,PA82MZE3226,202/8 NC,2005-08-05,2024-10-30,307
800533375,Unisys,44,177,158,81,35,83,10,PA53TMK5307,223(a)(7) Refi of 223f Nursing/ ICF,1994-05-19,2024-07-14,354
800494561,991 Leo Walk,96,128,79,41,41,90,8,PA22DBZ8200,202/8 NC,2003-12-20,2039-10-09,512
800008135,935 Mission Row,250,97,33,78,190,72,0,PA58RTO8645,223(a)(7) Refi of 223f Nursing/ ICF,2021-07-27,2035-08-16,189
800501332,382 Galindo Stravenue,232,122,328,122,159,25,8,PA80NXF5362,223(a)(7) Refi of 223f ALF,2018-04-25,2024-09-17,203
800581326,Western Digital,263,16,191,4,65,90,10,PA00KIZ8508,223(a)(7) Refi of 223f Nursing/ ICF,2016-03-17,2032-05-12,535
800869249,962 Eastman Pike,191,179,354,203,54,13,9,PA26SRN8707,202/8 NC,1993-08-31,2034-01-28,555
800194945,193 Lobos Parkway,348,149,447,152,86,51,8,PA52KOV3691,223(a)(7) Refi of 223f ALF,1989-08-02,2027-12-11,504
800936068,General Motors,231,95,111,171,77,32,1,PA69HWK6014,223(a)(7) Refi of 223f ALF,1997-02-09,2023-02-22,363
800087056,Kroger,388,35,342,246,111,76,1,PA23FAY2416,223(a)(7) Refi of 223f Nursing/ ICF,2017-12-28,2023-06-16,501
800720937,1126 Pemberton Pass,401,136,24,246,64,68,8,PA05RJY4543,202/8 SR,2002-04-05,2020-10-13,476
800167859,29 Jamestown Park,70,32,439,114,139,94,4,PA61KIQ2668,223(a)(7) Refi of 223f Nursing/ ICF,1986-05-24,2041-11-22,617
800056881,206 Card Gardens,28,8,122,114,129,65,1,PA17EIH2499,202/8 NC,2011-07-27,2037-03-17,554
800506427,Monk House Maker,384,39,455,77,72,24,6,PA10CZD7183,202/8 SR,2001-06-04,2026-10-03,193
800595690,520 Belle Field,431,1,118,239,120,91,5,PA91CQK4231,223(a)(7) Refi of 223f Nursing/ ICF,1994-07-22,2040-08-21,131
800248077,1061 Cosgrove Terrace,139,247,9,162,37,12,9,PA04SFM4378,202/8 SR,2019-02-10,2022-04-07,539
800546543,1223 Winston Lake,521,97,234,26,149,87,10,PA56JYI7035,223(a)(7) Refi of 223f Nursing/ ICF,2007-07-08,2023-06-15,549
800212898,Universal Studios,270,52,406,192,44,73,5,PA26RQQ7784,223(a)(7) Refi of 223f Nursing/ ICF,2000-10-16,2035-09-18,9
800181551,RadioShack,230,156,329,250,95,59,5,PA75XGY3359,202/8 SR,2010-06-01,2038-10-22,480
800479425,Intel,595,180,331,123,1,1,7,PA22SWS7632,202/8 SR,1983-09-08,2028-11-30,524
800729186,1022 Hartford Lane,86,158,492,159,108,96,8,PA81EAX2651,202/8 NC,1988-06-10,2030-12-05,508
800217112,460 Dicha Place,538,63,51,231,69,17,3,PA23KCM6166,223(a)(7) Refi of 223f Nursing/ ICF,2009-07-29,2030-08-03,484
800492826,Sears,342,171,351,84,73,50,5,PA07MDR5038,223(a)(7) Refi of 223f ALF,2016-05-03,2037-08-08,2
800724385,302 Old Decatur Rapids,80,56,340,53,11,26,2,PA66XCG8639,223(a)(7) Refi of 223f ALF,2007-08-24,2021-02-01,612
800453979,NCR Corporation,344,55,122,245,149,55,6,PA72ING3315,202/8 NC,2009-05-06,2038-07-03,80
800588033,1205 Powhattan Route,409,240,471,153,56,34,4,PA30GVH7748,202/8 NC,2012-06-28,2042-09-20,184
800175143,839 Fella Cove,173,77,479,157,68,35,9,PA17NYM7487,202/8 SR,2017-01-15,2028-07-10,630
800511688,122 Diamond Heights Glen,353,240,207,157,67,33,1,PA81BXG8480,223(a)(7) Refi of 223f Nursing/ ICF,2015-04-02,2025-02-19,73
800753266,874 Merriam Shore,529,17,363,87,148,28,1,PA58QYF2632,223(a)(7) Refi of 223f ALF,2003-10-28,2035-07-15,607
800451075,Grey Fade,169,151,94,129,66,3,6,PA39ODZ2742,223(a)(7) Refi of 223f ALF,1982-12-30,2031-10-10,102
800719129,Sunburst Garden Management,384,44,254,101,171,38,3,PA52DFD1148,202/8 SR,2016-08-17,2033-07-27,343
800708256,Universo Realtors,93,1,443,152,30,55,10,PA47YRP1619,202/8 NC,1980-11-25,2039-05-08,583
800762403,Rivera Property Maintenance,253,44,289,130,143,42,9,PA14CPN9799,223(a)(7) Refi of 223f ALF,2019-11-02,2034-11-06,481
800443521,864 Galewood Manor,233,101,52,127,73,20,0,PA85JJA4150,202/8 SR,1985-07-13,2035-11-29,631
800902697,KPMG,444,23,279,67,143,84,7,PA78AHC4149,202/8 NC,1986-04-23,2036-09-14,469
800745983,ONEOK,597,17,323,145,110,21,10,PA45KFA2784,223(a)(7) Refi of 223f Nursing/ ICF,1989-12-09,2043-04-09,660
800637047,339 Wyton Annex,97,74,316,64,26,34,5,PA59QAW5033,202/8 NC,1998-05-16,2034-05-28,93
800636697,1156 Northpoint Bend,282,139,234,38,143,48,3,PA51ACG8430,223(a)(7) Refi of 223f ALF,2019-03-17,2032-08-13,224
800779115,939 Shields Plaza,251,117,50,14,191,59,5,PA22SZV5253,202/8 SR,1998-11-14,2037-09-26,520
800160901,501 Grant Hill,136,189,258,40,116,16,4,PA06XZD5169,202/8 SR,2005-11-11,2028-10-27,305
800827450,Aflac,520,52,235,211,12,88,5,PA91TIM4979,223(a)(7) Refi of 223f Nursing/ ICF,1998-04-29,2022-05-10,17
800646526,1380 San Rafael Creek,207,184,115,123,133,67,6,PA63YUF3068,223(a)(7) Refi of 223f Nursing/ ICF,1992-10-12,2032-08-25,574
800510399,Regis Corporation,326,226,377,89,28,91,9,PA58EXU4843,202/8 SR,2001-10-15,2042-02-02,141
800037313,493 Hahn Shore,192,219,357,244,121,49,7,PA67CMN3038,202/8 NC,1990-11-08,2041-07-09,277
800510831,Trinity Industries Inc.,48,82,125,47,180,4,7,PA73SAC9224,223(a)(7) Refi of 223f ALF,2001-08-03,2020-06-21,575
800150983,Star Interior Design,286,106,61,135,56,68,2,PA73HYE1177,202/8 SR,1991-05-10,2024-09-25,379
800579763,1233 Westbrook Walk,3,16,173,176,186,36,7,PA80UDP3852,202/8 SR,1996-06-13,2041-09-28,196
800850188,eBay,130,202,301,146,87,96,3,PA59LGW2644,202/8 NC,2001-01-23,2036-11-11,511
800053557,Quest Software,95,194,347,186,191,21,2,PA61ZHT2687,202/8 NC,1997-02-20,2035-10-09,367
800297400,Mozilla Foundation,466,83,173,238,156,61,2,PA51GGM6324,202/8 NC,2005-03-10,2039-11-08,278
800061385,Albertsons LLC,469,88,198,185,107,26,1,PA72JWS2802,223(a)(7) Refi of 223f ALF,1986-04-24,2023-06-21,484
800242486,379 Dogwood Boulevard,122,224,317,86,80,84,10,PA59BKC6396,202/8 SR,1986-05-22,2035-09-06,166
800401420,Rent-A-Wreck,531,95,321,204,140,98,2,PA96IAB7362,223(a)(7) Refi of 223f Nursing/ ICF,2003-02-02,2028-09-16,559
800910370,308 Miles Viaduct,183,77,176,73,177,10,4,PA24OXJ5748,223(a)(7) Refi of 223f ALF,2002-11-23,2026-06-21,116
800526841,SAIC,154,106,429,43,101,68,7,PA65MTM6209,202/8 NC,2014-05-15,2042-09-06,411
800529209,1363 Brumiss Terrace,21,170,35,172,106,88,9,PA81MBG8037,202/8 SR,1996-09-19,2022-11-12,278
800605183,Quantrix,365,33,73,202,192,100,7,PA53RKB7596,202/8 NC,2016-12-06,2023-06-13,5
800593330,530 Raleigh Loop,58,22,458,158,149,70,9,PA99HOK4915,223(a)(7) Refi of 223f ALF,1991-09-02,2037-01-24,129
800765409,659 Samoset Pass,584,230,440,237,12,23,8,PA38MMO2459,202/8 SR,2012-02-06,2021-05-24,256
800829882,177 Hale Stravenue,105,230,282,25,30,56,0,PA09NFP5277,223(a)(7) Refi of 223f Nursing/ ICF,2006-09-21,2026-06-13,493
800876056,1088 Towerside Crescent,154,53,474,239,149,22,8,PA15SEA9090,223(a)(7) Refi of 223f ALF,2011-12-13,2026-11-15,75
800097994,248 Coralino Stravenue,38,160,388,189,30,33,0,PA24REA0846,223(a)(7) Refi of 223f ALF,2014-06-09,2032-03-31,132
800637378,313 San Jacinto Annex,365,242,335,94,194,31,4,PA45IVE7574,202/8 NC,1995-09-14,2029-04-10,379
800843841,133 Saint Elmo Circle,148,193,436,219,87,7,8,PA18PJJ1664,202/8 SR,1981-07-17,2034-01-13,116
800428685,1381 Nebraska Crescent,359,112,95,171,139,77,3,PA29UIA6840,223(a)(7) Refi of 223f ALF,1986-09-26,2043-06-03,514
800511866,1392 Moraga Park,385,235,167,140,196,70,10,PA74ZFQ0612,223(a)(7) Refi of 223f ALF,2003-04-21,2027-10-30,366
800610878,1096 San Carlos Grove,563,34,340,234,106,5,1,PA28JMC4662,202/8 SR,2008-11-29,2023-05-17,307
800482592,1020 Country Club Route,159,191,230,71,123,98,2,PA01SDP2401,223(a)(7) Refi of 223f ALF,2020-09-22,2041-03-12,90
800278863,1317 Normandie Hill,53,58,299,28,0,83,8,PA91JNN7411,223(a)(7) Refi of 223f ALF,1987-05-15,2022-04-27,428
800154172,583 Central Stravenue,375,94,9,212,131,45,1,PA22GZU0033,202/8 NC,2020-06-14,2024-05-23,465
800041883,Syntel,536,223,38,76,67,89,4,PA75BUP4619,202/8 NC,1999-06-09,2035-10-22,320
800537494,Hasbro,37,62,177,10,171,92,9,PA85GMP5859,202/8 NC,1991-08-01,2040-06-20,473
800232557,892 Toledo Square,243,116,309,244,56,97,10,PA51BOM5719,223(a)(7) Refi of 223f Nursing/ ICF,1990-01-13,2034-09-02,300
800061556,229 Williams Motorway,600,116,472,78,4,89,5,PA62GOR3307,202/8 SR,2010-12-23,2043-04-02,142
800512075,741 Avenue N Mall,55,178,440,200,167,14,6,PA30FGO1360,223(a)(7) Refi of 223f ALF,2022-12-25,2039-06-14,608
