development_code,longitude,latitude,geocoding_accuracy,county_fips_code,census_tract,municipality_fips,municipality_name,hud_property_name,property_street_address,city,state,zip_code,units,owner_organization_name,participant_code,formal_participant_name,project_name,total_dwelling_units,acc_units,total_occupied,regular_vacant,pha_total_units,percent_occupied,people_per_unit,people_total,rent_per_month,median_inc_amnt,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_lt80_median,pct_lt50_median,pct_lt30_median,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,chldrn_mbr_cnt,eldly_prcnt,pct_disabled_lt62_all,national_building_id,geom,geom_webmercator
PA00410613,-80.03969508569229,40.442146706911466,R,42003,42076814770,800175135,Wilkins,Towers Perrin,325 Longview Bend,Bradenton,PA,56320,323,Housing Authority of West View,PA003,Deere & Company,Kempton,94,109,225,6,1945,37,3.73,1117,409,136759,198,5666,29.0284552686,71.0666610193,0.0772400217,22.9719665506,21.8794228709,92.188967523,89.7745081369,69.9546517113,42.1804429625,83.9029859299,44.8309305328,25.012998518,89.1756301203,18.7457053818,91.540090976,1,2.5136846687,64.1134886811,7560760000,POINT (4501999.17800025 -15564208.288496042),POINT (4501999.17800025 -15564208.288496042)
PA00179119,-79.8151991360484,40.301785244939694,4,42003,42083323669,800855936,Heidelberg,Procter & Gamble,1208 Grattan Extension,Kennesaw,PA,73100,347,Housing Authority of Springdale,PA007,Gore-Tex,San Bruno,74,131,195,16,1535,63,2.17,153,431,164787,2562,5601,45.9758698203,5.3808110651,5.0259143698,7.0235693585,5.3557736193,95.6457252982,90.2964573273,61.7836796635,24.3165404059,40.365910246,11.5975779952,15.6615878903,87.077597534,44.975097324,19.0531374204,17,52.7045928239,20.5626728607,8481450000,POINT (4486374.211526553 -15421312.312786201),POINT (4486374.211526553 -15421312.312786201)
PA00415680,-80.28217439771436,40.473549047026594,B,42003,42015844247,800386708,Findlay,Sexsi Senorita,881 Birch Terrace,Sunnyvale,PA,94668,287,Housing Authority of Shaler,PA002,Stewart-Warner,Virgil,172,455,479,3,1310,56,2.35,1277,361,82179,9578,13343,21.2878532627,73.0103052488,35.7550734987,24.0548611889,13.6562225418,96.9703146495,94.6143289258,72.6777964907,65.1490293486,39.6263626624,23.4300599747,39.6393722629,80.983060855,19.6463639813,34.5844466915,2,26.8420641692,56.7840362403,4930290000,POINT (4505494.870511583 -15722177.760973731),POINT (4505494.870511583 -15722177.760973731)
PA00810453,-79.94345690399535,40.547448084849044,B,42003,42081757481,800016201,Pennsbury Village,Fruit of the Loom,891 Whitney Path,Bellevue,PA,89916,379,Housing Authority of Brentwood,PA004,Novellus Systems,Otega,296,406,280,43,2471,44,3.95,1249,351,138843,2529,16925,48.8458151347,59.0673708419,24.4803079354,26.0005295439,45.8161148194,97.6402291603,93.1296076559,66.6803255642,48.2510552831,10.1418631304,10.2458851328,8.1746407495,38.2534967336,39.3091014738,37.1555385466,14,12.3488359589,48.0194634926,1857730000,POINT (4513721.273772092 -15502564.439543054),POINT (4513721.273772092 -15502564.439543054)
PA00620159,-80.15874934428025,40.58723269770025,R,42003,42088970230,800481984,Hampton,973 Gateview 2 Highway,908 Jessie West Hill,Norwalk,PA,22073,61,Housing Authority of Edgewood,PA008,Giant Food,Shawnee,58,133,411,26,2478,99,2.56,1225,348,192914,13171,6216,24.9011670036,19.0997097188,4.8727448557,28.9170588865,12.7542147416,92.2076761467,88.1571441708,69.2393083877,71.2888754371,51.2222288767,31.0948114136,41.736045278,13.0537464864,65.573643521,96.4713797345,11,54.7978714055,48.536657605,4201950000,POINT (4518150.076616095 -15641287.663477145),POINT (4518150.076616095 -15641287.663477145)
PA00448622,-79.81034674526398,40.61474258233561,B,42003,42043235007,800233929,Glen Osborne,Protean,572 Le Conte Mall,Glen Ellyn,PA,08879,4,Housing Authority of Etna,PA005,Colt's Manufacturing Company,Royal,195,368,290,8,2165,31,3.32,105,310,108185,8273,12655,27.0534888715,58.1391062507,32.5709333872,37.5483825499,35.8276104393,94.1681179344,88.4723619534,56.9780063134,22.8405924553,55.3727521005,43.4213177426,48.8332374261,76.7683601239,25.2995299204,50.8063135601,17,81.5558495931,30.5858860618,8864920000,POINT (4521212.462965485 -15418258.20555399),POINT (4521212.462965485 -15418258.20555399)
PA00569097,-80.11250998176384,40.42959150879558,T,42003,42078962535,800173536,Scott,1157 Rice Expressway,1001 Gilman Shore,Johnstown,PA,30273,273,Housing Authority of Scott,PA009,Hornbeck Offshore Services,Music Concourse Access,180,441,103,48,1291,25,1.31,1465,371,104922,19354,6742,19.3610096914,1.8003609873,33.1334774869,4.7388334665,4.753809768,95.0444845997,87.9509221123,53.2431430598,41.0840488133,26.4725888056,14.93329184,17.1143032377,21.2189914997,61.129903677,59.629403592,16,42.2884821232,68.913607907,3579930000,POINT (4500601.539739181 -15611241.798012696),POINT (4500601.539739181 -15611241.798012696)
PA00418061,-80.23021195560908,40.56802686395152,4,42003,42006347605,800792585,Dormont,DiC Entertainment,136 Bayside Village Hills,Vista,PA,75324,31,Housing Authority of Duquesne,PA009,Starbucks,Ardenwood,229,403,246,4,2474,44,1.7,1260,258,76806,19794,16000,39.237419678,69.4894262142,43.8349263895,32.0841970583,19.6735368494,92.3142254443,75.3651298968,78.9755610407,67.4193873223,79.5610978309,48.2974089924,20.7924657527,97.1956742469,54.8183035147,74.6643807483,25,99.3150064586,0.6897669481,9611210000,POINT (4516012.092982926 -15687999.406957513),POINT (4516012.092982926 -15687999.406957513)
PA00621432,-79.93520572287015,40.670105634205385,R,42003,42072579455,800252301,Upper St Clair,60 Colon Hill,360 Detroit Court,Twin Falls,PA,43926,82,Housing Authority of Green Tree,PA000,Future Bright,Washburn,144,447,82,20,2259,48,3.31,1264,387,171478,7169,9496,36.9722918637,56.3538844742,16.7170334369,11.6577372213,43.2600797475,91.4188378099,70.1097820528,65.0252959181,48.9584333174,24.9452605596,45.8674765084,16.9029863136,13.9204487261,35.9037773854,52.0246909963,21,61.6900121052,7.0819069646,2647030000,POINT (4527375.44970839 -15497306.480868522),POINT (4527375.44970839 -15497306.480868522)
PA00605887,-80.2170895855111,40.4469991948337,T,42003,42079178365,800069149,East Pittsburgh,802 Geneva Manor,116 Kingston Hills,Tualatin,PA,40967,129,Housing Authority of Pitcairn,PA006,Hoyden,Schwerin,461,35,165,19,1532,35,3.64,1422,318,145155,13895,10152,1.0738814129,69.7599870848,22.8892750404,12.2027267514,17.4624526583,98.3589790001,78.8632553813,66.2395984428,68.6560279283,30.7852483199,21.6729691783,3.7197028936,57.4884853645,22.4621821413,33.4463723416,24,0.6892704318,49.6807241636,3636630000,POINT (4502539.354484834 -15679396.625217201),POINT (4502539.354484834 -15679396.625217201)
PA00833460,-79.90597229424817,40.25971758501666,4,42003,42044843821,800434126,Braddock,1216 Stone Walk,399 Atoll Bayou,Antioch,PA,31976,474,Housing Authority of South Park,PA004,Lexmark,Burns,309,415,180,31,1850,45,3.63,1436,258,155015,763,7825,12.3356559221,7.2830045105,25.706264089,36.343298755,2.4844098466,99.1804366056,89.1300602933,79.5457769372,53.2021539517,0.4843584573,33.4236220138,0.9868337076,53.6913883866,41.287729198,69.5728477203,15,80.6455685403,6.268565601,8204450000,POINT (4481691.261045055 -15478712.126049755),POINT (4481691.261045055 -15478712.126049755)
PA00000529,-80.05321410777155,40.618950160713105,R,42003,42052738544,800806377,South Versailles,834 Amethyst Motorway,635 Nobles Heights,Upland,PA,96560,23,Housing Authority of Chalfant,PA006,Global Insight,Nobles,265,83,374,33,1361,6,3.6,137,334,68271,18223,8489,48.0593300219,49.2740763244,6.3599786924,17.4007085118,43.0509657134,95.4229175406,91.3579170716,82.552886063,99.617396262,91.1075729267,39.9001868162,42.8489247257,83.4977599036,10.2721827263,51.5420878648,23,63.9307215002,36.5975966717,2756950000,POINT (4521680.84844794 -15572914.877493182),POINT (4521680.84844794 -15572914.877493182)
PA00240744,-80.2921148852999,40.476736910119186,4,42003,42098173172,800165633,Stowe,485 Mill Alley,844 Nueva Trace,Washington,PA,20390,30,Housing Authority of McCandless,PA000,Southwest Airlines,Carroll,233,122,279,9,1219,90,3.57,1372,333,150223,12939,16697,9.2277940494,5.2924194334,38.2059539016,11.3732428305,3.109832992,93.4717122764,81.0196628496,72.6945707654,32.0349967134,27.4543590078,14.0908684879,27.0704998505,35.984418008,58.9535851487,31.2652677672,16,8.5628281572,30.5577786956,3094530000,POINT (4505849.741807769 -15728736.747382348),POINT (4505849.741807769 -15728736.747382348)
PA00632152,-80.18272141843255,40.471382989729925,B,42003,42002468789,800737257,Heidelberg,1013 Old Chinatown Plaza,1331 Geary Ranch,Gallatin,PA,67154,7,Housing Authority of Sewickley,PA006,DC Comics,Midway,238,240,34,13,1952,49,3.19,168,444,87030,13510,11268,5.6328622894,69.0887814841,43.9185165311,35.48997332,25.5980214258,94.3850387515,80.7974889578,64.4067383926,73.3135161294,37.6851948723,32.6423508443,40.886503543,10.753450511,28.2677676753,64.3446396272,5,38.9646474828,3.8207782311,6499370000,POINT (4505253.746116289 -15656919.5352251),POINT (4505253.746116289 -15656919.5352251)
PA00444974,-79.98641151503753,40.29630942050239,T,42003,42001703779,800318348,Coraopolis,Southern California Edison,445 Eddy Extension,Tulsa,PA,08930,109,Housing Authority of North Versailles,PA000,Stewart-Warner,Candlestick Cove,333,178,448,2,809,87,3.95,1354,300,239980,5613,8313,44.5885256996,20.2580034112,46.9876314521,31.8722681449,24.934122392,94.868817722,86.6630575201,79.7506837884,17.5751965454,26.4686932546,40.4219703008,35.0119752555,90.7920182729,29.8564326632,97.3530065629,5,42.6671234226,66.2078443131,9697810000,POINT (4485764.645538519 -15530005.86893993),POINT (4485764.645538519 -15530005.86893993)
PA00069886,-79.8186907626645,40.52194669460705,T,42003,42055765587,800639339,West View,Go Daddy,755 Lily Pine,Dunedin,PA,18731,433,Housing Authority of Cheswick,PA006,Martin Marietta Materials,El Camino Del Mar,240,278,94,1,1594,38,1.04,569,200,202488,12192,6228,39.8729120089,49.4600083559,17.537710911,14.7331671234,44.1517181659,93.7810474575,87.6157652678,99.1205258994,0.3424503379,37.558825474,31.5030797452,0.6909848023,67.3301842288,22.009448375,79.4137910861,1,50.7908852733,36.5094037746,1629080000,POINT (4510882.471995832 -15423510.842402292),POINT (4510882.471995832 -15423510.842402292)
PA00490539,-79.80884658398894,40.308841761733895,4,42003,42018778398,800312349,Rosslyn Farms,478 Fourth Trace,854 Brannan Row,White Plains,PA,44957,382,Housing Authority of Ben Avon Heights,PA009,Avis Budget Group,Persia,11,289,385,31,1258,69,3.27,1006,427,84908,17403,5194,21.7893704805,33.4340718895,20.6138619745,9.5568944979,45.5652222755,94.7744369899,94.9127993661,73.1849494892,95.5072110414,48.1665935818,28.0544638629,32.3682828658,25.0646154197,52.0578750483,10.565198925,18,90.8159332615,46.8264772208,7007860000,POINT (4487159.739382857 -15417314.291401306),POINT (4487159.739382857 -15417314.291401306)
PA00163095,-79.8754034482517,40.49875248533857,R,42003,42097035048,800213219,Franklin Park,Komerci,140 Amity Circle,Greensboro,PA,80413,287,Housing Authority of Churchill,PA007,Applied Biosystems,Transverse,182,467,223,5,2206,28,3.92,690,410,222034,4687,15600,4.0969519174,47.0295717393,25.1982130238,9.3134292925,42.2929610226,96.3736955245,75.8752194149,60.7637169315,33.8172636681,47.18131612,17.3285038864,28.1180128797,95.0504428952,18.5738341204,70.0243346047,10,61.2881356252,66.4907397086,9663670000,POINT (4508300.504430712 -15459325.273101233),POINT (4508300.504430712 -15459325.273101233)
PA00936690,-80.00432542524672,40.36384208745326,T,42003,42012960241,800640796,Brentwood,Winnebago Industries,352 Topeka Walk,West Sacramento,PA,50033,270,Housing Authority of Fox Chapel,PA005,Target Corporation,John F Shelley,106,151,113,10,1174,59,1.35,1226,455,99040,1194,15994,13.0822001039,9.9651190363,18.267895791,25.773437506,31.6410505479,97.7869736053,77.0783352795,80.9320329805,23.1926200938,12.4417777288,39.7832461043,23.0636723438,25.1531760276,42.6427940503,86.6163912285,3,23.1717150152,23.5989598832,2457510000,POINT (4493282.347635401 -15541484.561877701),POINT (4493282.347635401 -15541484.561877701)
PA00644764,-79.83514651617045,40.57445326635477,R,42003,42086194802,800794616,Mt Lebanon,Veramons,931 Dove Crescent,South Pasadena,PA,21300,181,Housing Authority of Bellevue,PA000,World Airways,Elliot,311,183,480,6,2165,57,2.3,726,406,198281,16159,16278,7.5738739702,7.7140637526,14.4660991353,0.4907626473,26.8267195574,96.3646007818,82.1432095008,78.3819677012,68.2976433612,83.9915948019,45.6239885192,25.7169341951,65.0561786877,37.9817856388,44.5507394109,25,20.3942825724,42.8866421837,7230160000,POINT (4516727.4768260885 -15433882.387881663),POINT (4516727.4768260885 -15433882.387881663)
PA00823438,-80.00877500170544,40.64440460627222,R,42003,42010725074,800243188,Etna,AT&T,596 Cityview Pass,South Jordan,PA,09707,231,Housing Authority of Duquesne,PA009,Delta Air Lines,Park Presidio,381,76,25,42,1246,77,1.29,785,490,243241,16435,12611,6.1259220741,57.297142081,47.876324814,7.603537116,8.77608776,93.0059654725,96.1804675923,96.1102616091,14.6846522377,44.1469765728,5.7016015308,44.3583794839,33.6660479391,49.7596439246,44.5408625498,9,73.8456421374,1.3000502062,6389070000,POINT (4524514.424366007 -15544338.873158587),POINT (4524514.424366007 -15544338.873158587)
PA00248045,-79.83229996405085,40.46168406229363,R,42003,42076217263,800223372,Glassport,333 Whittier Landing,828 Eutaw Center,Huntersville,PA,13610,414,Housing Authority of Bethel Park,PA004,Stewart-Warner,Wheat,218,219,257,5,2985,21,3.04,1406,305,162731,700,5292,26.8484280794,66.0166526713,14.9661707715,15.3427985785,22.213124314,97.4730307962,75.7343340848,87.7859730624,69.0951839769,19.8659007039,44.6628794768,29.3407018731,31.4085711239,38.8202336401,21.6456275182,21,64.2712511667,22.0867773486,3108310000,POINT (4504174.066452839 -15432087.107509667),POINT (4504174.066452839 -15432087.107509667)
PA00185268,-79.75713994256304,40.59342686342474,B,42003,42052132240,800504737,Reserve,925 San Benito Viaduct,525 Lockwood Ranch,Harvey,PA,65304,223,Housing Authority of Collier,PA001,Raytheon,St. Paul Street-Calvert,197,367,327,25,2630,43,1.52,1049,215,110881,11936,9369,44.1342988223,4.5411443852,43.8386108175,26.9702533059,11.1565892934,96.7239436108,82.7162856454,81.3991088767,23.4174170827,83.0024258773,5.4917773606,34.5868178683,16.7172867641,59.9170379176,95.1786406097,9,55.5577026103,47.7121897758,8153730000,POINT (4518839.607990434 -15384863.784303011),POINT (4518839.607990434 -15384863.784303011)
PA00706090,-79.95307998210255,40.48237788274049,T,42003,42051508536,800599364,Kennedy,Total Yard Management,1346 Rod Plaza,Farragut,PA,50297,187,Housing Authority of Rankin,PA009,Eastman Chemical Company,Foote,356,321,333,30,2336,25,1.04,254,382,147202,18515,10064,41.853285717,18.8327475303,1.5375283255,13.0365498803,19.0303352499,97.6812110883,97.3553434182,52.691713244,61.5503180582,27.1295588993,2.8076490611,3.9166737537,97.8701203265,21.1123905084,19.5108221418,5,27.3005488428,48.3247223405,6941990000,POINT (4506477.692007551 -15508702.018066965),POINT (4506477.692007551 -15508702.018066965)
PA00674967,-80.06259331794004,40.63220514313943,R,42003,42053833087,800702866,Wilmerding,1251 Athens Mews,679 Standish Viaduct,Alliance,PA,40078,212,Housing Authority of Duquesne,PA009,Prahject Planner,Merlin,41,280,417,33,2352,90,1.67,841,268,91210,18669,12915,10.4416063398,0.4947134868,0.6255360454,36.3578395786,11.848166939,95.5142637577,94.6051747037,79.6342369769,41.6767620438,85.7810954086,15.7124116564,34.8011405074,34.8372171378,20.0424459905,30.5772362194,30,22.9489690116,4.6087935368,3306800000,POINT (4523156.386342113 -15578962.209378552),POINT (4523156.386342113 -15578962.209378552)
PA00960598,-79.8766172164985,40.665810574815445,B,42003,42090113569,800971450,Braddock,Dereon,76 Dolores Canyon,Perth Amboy,PA,57076,214,Housing Authority of Rosslyn Farms,PA003,Allstate,Oakdale,24,325,382,16,1390,59,3.43,1246,460,182816,8693,14307,47.6455496364,30.0568504258,33.4942781005,15.3446715008,44.5268434788,90.5399942044,88.3397047574,54.7075288032,78.4716279173,9.440175628,15.4744448317,11.9859729094,65.51860682,76.5675472894,46.1913845153,17,18.107554016,18.8296131149,1051130000,POINT (4526897.325884175 -15460093.943557547),POINT (4526897.325884175 -15460093.943557547)
PA00563949,-80.05107579756029,40.385961682071404,B,42003,42092667292,800398133,Hampton,America Online,1339 Shipley Mews,La Verne,PA,19896,8,Housing Authority of Bethel Park,PA003,Maxi-Tech,Rausch,260,316,268,2,2918,33,2.75,356,303,237824,15035,8745,19.2910451975,70.2630745507,9.8248067163,34.3979119297,1.1221252341,95.1258129464,82.3155702427,60.0681992003,58.1445191329,3.3877342777,23.2899994432,19.9716631722,49.3791158898,31.1119708433,80.0735151166,25,90.8391084055,46.4049805056,4498500000,POINT (4495744.689644847 -15571536.97253511),POINT (4495744.689644847 -15571536.97253511)
PA00907492,-79.94961072553163,40.51590746398335,4,42003,42003647321,800188616,Monroeville,740 Homewood Drive,972 Long Landing,Medina,PA,46116,122,Housing Authority of Harrison,PA002,Gateway Computers,Avenue N,357,290,407,34,2318,24,2.76,1135,323,157025,9669,10769,22.2522934494,54.2001941277,42.3384196035,23.1189671011,20.9686884098,97.3748823069,78.5440572247,87.5047641837,56.5779028128,52.1125340679,14.0271718598,6.4273945189,41.9357766302,47.0713289782,30.4242961496,17,57.1306397244,48.3592009519,9673460000,POINT (4510210.187918019 -15506488.663269797),POINT (4510210.187918019 -15506488.663269797)
PA00699117,-79.97653074078016,40.377483063479474,T,42003,42096571015,800141234,Stowe,546 Colleen Road,439 Buchanan Extension,Ames,PA,92536,210,Housing Authority of Wilkins,PA009,"Respironics, Inc.",Chain Of Lakes,133,473,238,26,2091,100,1.89,908,465,87031,2582,15050,37.25908153,52.0461889633,46.2474372837,15.2190924957,41.7926324164,90.6468093764,76.7465619942,67.0970115178,86.0272159465,25.001187844,39.2919150289,24.8683491077,69.7782685264,10.2585934961,62.0067742316,14,63.9488488093,7.4655351637,5192760000,POINT (4494800.854140563 -15523683.261262866),POINT (4494800.854140563 -15523683.261262866)
PA00337190,-79.87392637043568,40.38897420810254,R,42003,42065326043,800789375,Cheswick,Success Is Yours,577 Dearborn Walk,Mesquite,PA,74839,139,Housing Authority of Carnegie,PA004,Midwest Communications,Fortuna,396,322,268,41,1557,27,1.93,1339,365,98221,5642,14385,19.3821716518,55.7866788689,39.8758516103,6.415959892,24.6030452452,97.4133891311,73.7750608961,57.8193582936,44.7060926653,70.1443114015,8.5448948705,39.4799541238,26.1429898709,48.579438182,49.5663768352,26,76.2674002074,30.448908922,1513760000,POINT (4496080.042508634 -15458389.973640723),POINT (4496080.042508634 -15458389.973640723)
PA00532168,-79.96564774555077,40.471597921018024,B,42003,42083291488,800204984,South Versailles,1160 Prosper Field,1307 Alberta Garden,Waukesha,PA,43648,142,Housing Authority of Plum,PA006,Fluor Corp,Annapolis,47,176,458,19,1970,30,3.31,353,381,244198,11156,14404,14.853923306,28.3472912591,40.4308693191,17.3268160886,38.8991249919,91.0809143139,87.8828917385,68.4927406785,37.607099925,13.2756253825,32.1343108119,8.3625078662,85.1366166257,40.3826090231,20.0959737171,16,84.7288057577,48.0554248289,4681290000,POINT (4505277.672157836 -15516726.477745691),POINT (4505277.672157836 -15516726.477745691)
PA00379084,-79.81979192138178,40.231586143712285,T,42003,42012920771,800211698,North Versailles,Matrix Design,111 Child Street,Fishers,PA,74421,312,Housing Authority of Pittsburgh,PA001,Aon Corporation,Graymalkin,401,353,283,34,2615,87,1.07,1427,293,75247,3861,17384,40.7423618199,35.1373367531,16.273972111,26.599289093,20.3545639533,95.8929511062,86.7072896704,73.7143631697,64.8655416592,54.3305820139,39.6662787728,36.1996776995,88.267088448,32.9207444717,86.9259912416,3,75.0928069676,41.8949131764,1898060000,POINT (4478559.683323773 -15424204.350215632),POINT (4478559.683323773 -15424204.350215632)
PA00755562,-79.7522246996411,40.39927519901128,4,42003,42048003503,800787822,Harmar,NetDNA,560 Santa Barbara Pass,North Miami,PA,78473,434,Housing Authority of North Braddock,PA000,General Communication,Winston,418,243,192,11,2195,48,1.93,1285,442,105060,6511,13934,47.3741655874,27.6973230765,44.380166834,15.4669353355,49.1536210026,93.5875928775,83.619222386,68.815557929,62.1305499011,49.2101022957,22.5606695345,6.1708455879,50.0771304168,31.5642949342,20.9812237305,21,23.5475867305,61.4657310928,4435820000,POINT (4497226.743571261 -15381787.472993886),POINT (4497226.743571261 -15381787.472993886)
