property_id,hud_property_name,inspection_property_id_multiformat,city,state,inspection_id,inspection_score,inspection_date
800530841,1126 Charles Square,PA00441747,Blue Island,PA,600063,73,2016-02-03
800673113,369 Mary Parkway,PA00002320,Orlando,PA,653108,76,2017-07-05
800213930,570 Entrada Heights,PA00216615,Taunton,PA,550278,32,2018-03-27
800494504,Monk Real Estate Service,PA00504598,New Smyrna Beach,PA,553456,99,2020-07-29
800569075,Monit,PA00565724,Rosemount,PA,559265,49,2020-03-16
800108253,50 Randall Highway,PA00413561,Joliet,PA,576648,30,2021-07-20
800023680,1175 Trenton Field,PA00492539,Ames,PA,681713,51,2015-12-29
800449449,Borders Group,PA00166987,Calumet City,PA,509029,74,2021-04-26
800498609,Towers Perrin,PA00844720,Allen,PA,670791,34,2017-01-14
800190601,Ameren,PA00281199,Johnson City,PA,691009,95,2022-05-06
800682481,976 Garfield Route,PA00523354,Elgin,PA,577821,29,2017-09-20
800803828,General Motors,PA00047283,Tracy,PA,611715,37,2020-08-19
800156548,1000 Greenspring Path,PA00281498,Ceres,PA,560496,64,2016-11-16
800971813,323 Vienna Mews,PA00288236,Anacortes,PA,620069,25,2018-07-15
800958888,1320 Riverton Turnpike,PA00641819,Highland Village,PA,676174,35,2022-07-04
800695197,Brightpoint,PA00917148,Marshfield,PA,677753,41,2020-12-14
800832316,1104 Dove Plaza,PA00681569,San Juan Capistrano,PA,613944,67,2023-01-09
800689981,Avnet,PA00374746,Florence,PA,557024,84,2022-07-04
800439195,1325 Gladiolus Street,PA00947544,Webster Groves,PA,606148,63,2022-04-15
800561171,Facebook,PA00443375,East Palo Alto,PA,632473,82,2019-12-29
800170235,Digi-Key,PA00566808,Woodburn,PA,687449,76,2015-01-07
800880151,Silicon Image,PA00014335,Dover,PA,512842,88,2018-02-08
800393755,Boston Acoustics,PA00383507,Dalton,PA,691051,26,2017-10-20
800612539,58 Dewey Heights,PA00091778,Alamo,PA,628226,76,2015-01-01
800151041,Pier 1 Imports,PA00543257,Buena Park,PA,535432,37,2018-11-01
800380775,1141 Bancroft Parkway,PA00289528,San Francisco,PA,522650,91,2022-12-07
800447319,1390 Rebecca Path,PA00056788,Ballwin,PA,539636,53,2021-09-03
800676699,355 Colon Shore,PA00538705,Brandon,PA,531534,88,2022-05-16
800263551,505 Velasco Expressway,PA00503514,East Providence,PA,593343,86,2016-12-15
800475131,27 Juniper Row,PA00117071,Rutherford,PA,576435,95,2022-01-27
800550463,Brinks,PA00949779,Muskogee,PA,506748,27,2017-10-23
800179358,257 Macedonia Park,PA00780871,Summit,PA,584763,63,2021-07-04
800956681,GTECH,PA00753544,Stow,PA,613458,48,2019-12-07
800842732,Regis Corporation,PA00798179,Duncanville,PA,670181,52,2018-11-15
800995720,886 Jones Street,PA00877408,Port Angeles,PA,685927,56,2023-11-16
800848680,Matrix Architectural Service,PA00883712,Selma,PA,599981,38,2016-03-31
800573149,520 Bluestone Expressway,PA00973521,Saginaw,PA,531859,55,2021-02-21
800158913,Fellowship Investments,PA00726715,Queen Creek,PA,526378,96,2019-09-05
800179887,"PalmSource, Inc.",PA00087726,Vero Beach,PA,628774,48,2021-11-11
800377269,Amkor Technology,PA00740633,Pueblo,PA,696773,91,2021-08-11
800216153,GE Consumer & Industrial,PA00034781,Elmira,PA,536870,76,2023-02-02
800649812,Kenexa Corporation,PA00811532,Deerfield Beach,PA,623716,65,2017-05-30
800212742,1246 Wildwood Pine,PA00992693,Sugar Hill,PA,638696,35,2015-07-05
800417509,Sur La Table,PA00871373,Homestead,PA,577687,28,2015-01-06
800358546,EMC Corporation,PA00596036,Lehi,PA,646472,49,2018-03-03
800424192,Dollar Tree,PA00006180,Los Banos,PA,676608,82,2017-01-09
800145360,994 Terry A Francois Road,PA00986103,Lynwood,PA,682323,45,2020-05-19
800245689,69 Elgin Manor,PA00565344,Glendora,PA,537719,45,2021-04-13
800786461,Brightpoint,PA00542229,Washington,PA,680435,50,2015-10-16
800758580,395 Patten Place,PA00975045,Anchorage,PA,678593,72,2021-11-11
800773726,834 Short Grove,PA00176785,Rialto,PA,526680,25,2016-10-14
800657836,VMware,PA00152165,Keene,PA,503704,38,2017-03-15
800565674,Facebook,PA00697650,Yonkers,PA,566723,49,2022-03-13
800656009,769 Palm Ferry,PA00657029,McAllen,PA,618665,40,2020-04-29
800294687,MasterCard,PA00567419,Flint,PA,579836,71,2017-02-19
800987752,Asian Junction,PA00249372,Lake Charles,PA,543348,48,2022-09-24
800078239,477 Sampson Landing,PA00287744,Tracy,PA,691487,27,2018-05-12
800987892,Twitter,PA00009631,Cottage Grove,PA,617659,99,2021-02-21
800031023,Red River Broadcasting,PA00067071,Burleson,PA,573107,59,2021-12-11
800366692,OPOWER,PA00883260,Mundelein,PA,586328,62,2016-11-13
800384910,Ultimate Software,PA00520545,Mankato,PA,577008,66,2018-02-19
800654670,Destiny Realty,PA00815907,Alameda,PA,543335,85,2016-05-28
800074502,986 Pennington Motorway,PA00000521,Salinas,PA,678268,91,2017-08-31
800758004,Asian Solutions,PA00972378,Galt,PA,653094,41,2020-02-14
800174825,Zoo York,PA00241417,Avon,PA,604948,97,2021-11-07
800490518,467 Menoher Circle,PA00227969,Howard,PA,534044,63,2022-03-16
800041165,1390 Costa Spur,PA00677408,Norfolk,PA,694991,38,2018-12-11
800742008,Creative Wealth Management,PA00848082,San Luis,PA,503335,29,2020-03-15
800620931,292 Worcester Road,PA00531623,Brookfield,PA,530635,65,2022-02-22
800373826,Vaughan & Bushnell Manufacturing,PA00843352,Marion,PA,601623,65,2020-02-10
800917172,Terra,PA00337208,Butte-Silver Bow,PA,639620,83,2015-06-25
800663281,701 Carroll Landing,PA00781277,Longview,PA,688856,26,2020-12-22
800740063,GHD Inc.,PA00891764,Goodlettsville,PA,645017,80,2020-02-06
800497922,605 Sylvan Motorway,PA00360753,Camden,PA,631952,88,2023-04-03
800886516,Practi-Plan,PA00583718,Kannapolis,PA,617384,90,2018-10-06
800756883,Adaptabiz,PA00287945,Marana,PA,518015,93,2015-03-12
800615401,Avant Garde Appraisal,PA00903198,Horn Lake,PA,631077,84,2019-02-07
800191759,63 Still Annex,PA00537793,McAllen,PA,613364,79,2015-12-20
800165602,508 Alpha Bend,PA00641375,Miami Beach,PA,524492,64,2020-02-29
800771502,1336 Jules Freeway,PA00997077,National City,PA,611796,70,2018-06-16
800277427,Bechtel,PA00006352,Ocala,PA,512369,52,2015-01-08
800186312,QuickTrip,PA00774173,Cleveland,PA,691521,75,2018-06-24
800413682,Macroserve,PA00323826,Glenview,PA,671917,51,2018-08-26
800651266,505 Cambridge Hill,PA00764215,Lakeland,PA,545871,60,2021-12-27
800123503,264 Waithman Viaduct,PA00595251,Irvine,PA,623912,97,2022-05-17
800978049,946 Parker Pass,PA00976713,Fairhope,PA,558115,28,2018-09-08
800123620,154 Margrave Pine,PA00536745,Davenport,PA,556315,93,2016-10-25
800736254,Novell,PA00610225,Dubuque,PA,561876,39,2018-03-26
800665483,221 Carrizal Terrace,PA00065958,Amarillo,PA,635648,41,2021-11-22
800705970,AnaSpec,PA00471281,Salisbury,PA,684998,48,2015-11-20
800954705,Westinghouse Digital LLC,PA00153859,Algonquin,PA,592938,44,2020-01-12
800752543,Quest Software,PA00767077,South Elgin,PA,605680,33,2016-08-20
800602890,Simple Solutions,PA00232263,New Haven,PA,676099,25,2019-02-18
800631889,715 Ottawa Hill,PA00926101,Simi Valley,PA,554642,61,2019-04-21
800988395,Gold Touch,PA00519651,Niles,PA,669947,30,2015-08-05
800430675,Russell Stovers,PA00959822,New Braunfels,PA,595086,95,2018-11-17
800068168,272 Lockwood Creek,PA00464174,Fort Myers,PA,620052,44,2021-06-05
800817120,"FileMaker Inc., formerly Claris Corp.",PA00949265,Orem,PA,639996,74,2016-09-19
800445142,Omni Tech Solutions,PA00636680,Fairhope,PA,579556,36,2015-09-27
800922002,Subway,PA00941474,West Des Moines,PA,504433,70,2022-05-12
800098785,EnviroSource Design,PA00469649,Amarillo,PA,568544,43,2020-01-04
800182112,348 Powers Pike,PA00367775,Gurnee,PA,646119,41,2018-09-14
800682598,1390 Alpine Trace,PA00381813,Kennesaw,PA,549271,76,2020-08-01
800243556,Bonanza Produce Stores,PA00261944,Rock Island,PA,667791,79,2022-06-12
800678828,1259 Kingston Landing,PA00786084,Rock Hill,PA,658692,94,2022-09-04
800419766,641 Gellert Run,PA00056308,Spokane Valley,PA,661107,88,2019-02-24
800618129,222 Myra Path,PA00743374,Sioux City,PA,575147,99,2019-03-10
800441462,1083 Marcy Grove,PA00000673,Oswego,PA,652927,27,2021-09-13
800848808,WWE,PA00118425,Hazelwood,PA,529464,78,2021-03-07
800299958,812 La Playa Spur,PA00347616,Lino Lakes,PA,528129,40,2022-03-18
800905956,Chem-Dry,PA00962692,Trotwood,PA,629545,77,2020-09-19
800383029,"Fred Meyer, Inc.",PA00780637,Hallandale Beach,PA,567709,59,2018-04-15
800419981,Balanced Fortune,PA00522317,Forest Park,PA,643959,55,2022-09-23
800768468,Adaptec,PA00965894,West Haven,PA,558656,80,2017-07-13
800613768,Mission G,PA00218959,Albuquerque,PA,658478,28,2023-03-26
800518290,1090 Randolph Pine,PA00017043,Brownwood,PA,631393,91,2021-05-09
800067008,737 Bridgeview Spur,PA00391184,Paso Robles,PA,682273,46,2018-05-31
800729916,Asian Plan,PA00660087,Charlottesville,PA,607409,54,2018-05-05
800511430,Balanced Fortune,PA00425064,Kirksville,PA,581285,90,2018-10-02
800705098,1365 Simonds Rapids,PA00287940,Wilkinsburg,PA,633343,98,2016-12-14
800607382,403 Belden Bypass,PA00100327,Tampa,PA,506277,68,2017-09-24
800637416,Netcom Business Services,PA00271266,Dubuque,PA,501603,35,2016-02-07
800444883,Biggby Coffee,PA00742014,Goodlettsville,PA,598146,59,2020-10-21
800851791,Victoria's Secret,PA00141734,Mansfield,PA,605707,87,2015-06-07
800585603,394 Del Monte Bend,PA00563473,Kernersville,PA,618509,47,2019-06-20
800040030,297 Brazil Road,PA00844749,Lompoc,PA,526257,72,2019-05-11
800872994,Bio-Rad Laboratories,PA00797083,Allen Park,PA,647259,52,2021-01-05
800032816,Accord Investments,PA00669777,Bethel Park,PA,581397,90,2018-12-11
800117163,1384 Edward Pass,PA00776270,Palmetto Bay,PA,607389,50,2016-08-09
800566671,New Era Tickets,PA00956328,Lakewood,PA,588687,82,2016-09-26
800516271,Peterbilt,PA00795853,Temple Terrace,PA,687643,53,2018-04-13
800886501,146 Hoffman Arcade,PA00304940,St. Cloud,PA,594640,75,2021-04-09
800032023,161 Petrarch Glen,PA00876933,North Port,PA,664472,43,2023-01-05
800325294,1389 Santa Marina Plaza,PA00725958,Chillicothe,PA,604676,37,2020-02-14
800199063,501 Camp Trail,PA00938920,Hayward,PA,529120,74,2023-02-15
800768420,Edge Yard Service,PA00097002,Staunton,PA,593121,36,2023-07-29
800966002,Farnod,PA00466550,Marion,PA,514953,84,2016-08-27
800391969,25 Plum Boulevard,PA00466987,Loves Park,PA,511199,27,2020-04-18
800973773,"Sun Microsystems, Inc.",PA00343485,Desert Hot Springs,PA,617148,99,2018-07-24
800751819,Texas Instruments,PA00462237,Bothell,PA,686890,26,2021-09-30
800682748,New World,PA00064804,Wheaton,PA,612787,81,2023-03-25
800900272,471 Striped Bass Station,PA00684799,Westfield,PA,683940,91,2015-03-09
800837481,Express Scripts Incorporated,PA00684499,Chesapeake,PA,670630,37,2017-12-24
800127354,ViewSonic,PA00230887,Sanford,PA,531471,52,2023-01-11
800362700,690 Auburn Crescent,PA00285080,Cranston,PA,621300,81,2023-05-09
800074419,1234 Balmy Road,PA00849136,Meriden,PA,664484,99,2020-03-25
800880218,1066 Cambridge Glen,PA00933649,Hudson,PA,649194,78,2017-11-09
800030683,Energy East,PA00697958,Fairborn,PA,626396,26,2019-08-06
800639983,1105 Octavia Lake,PA00623949,Little Rock,PA,525572,67,2021-09-08
800200245,Take-Two Interactive,PA00869093,Andover,PA,551096,34,2019-09-08
800021924,Avaya,PA00364828,Waukesha,PA,692582,63,2021-02-23
800822320,Omni Group,PA00862453,Carmel,PA,535388,36,2023-06-06
800915790,52 Bliss Route,PA00654452,Altoona,PA,676805,40,2022-12-31
800010855,The Pink Pig Tavern,PA00385747,Appleton,PA,572964,36,2016-09-11
800000863,896 Concord Field,PA00126012,Stamford,PA,561367,65,2015-08-01
800066702,TLC,PA00371487,Redondo Beach,PA,672647,26,2017-10-04
800577429,YRC Worldwide Inc.,PA00490572,Bellingham,PA,591607,73,2023-02-20
800870001,1266 Cecilia Landing,PA00736660,St. Louis,PA,691202,71,2015-02-13
800150285,1352 Ewer Mall,PA00086229,Edmond,PA,565048,73,2017-11-24
800517591,732 Daniel Burnham Ferry,PA00037373,Hollister,PA,561388,31,2020-12-23
800744817,373 Harbor Spur,PA00208801,Grandville,PA,500114,37,2023-04-19
800559507,Netcore,PA00265877,Valparaiso,PA,561957,45,2017-05-25
800671745,1080 Fifth Spur,PA00187741,Corona,PA,564712,51,2019-02-11
800762337,Earthworks Yard Maintenance,PA00203049,Sedalia,PA,533521,69,2018-08-08
800858578,Custom Lawn Service,PA00750493,Annapolis,PA,604509,47,2018-10-10
800653071,VIZ Media,PA00175849,Suisun City,PA,531237,31,2016-03-31
800358017,1269 Monte Vista Trace,PA00015709,Edwardsville,PA,600445,37,2019-03-25
800144081,Fiserv,PA00197204,Queen Creek,PA,613896,31,2022-01-12
800354393,721 Lurmont Pine,PA00365975,Evanston,PA,663062,51,2019-12-11
800467677,479 Marina Green Square,PA00131109,Socorro,PA,509582,70,2015-06-08
800611240,1347 Toll Plaza Tunnel Alley,PA00344309,Bountiful,PA,517122,47,2016-04-14
800142046,Express Scripts Incorporated,PA00225044,Lewiston,PA,606331,38,2016-04-03
800559920,Anixter International,PA00971695,Carrboro,PA,652102,44,2015-08-29
800145765,Peterbilt,PA00692664,North Augusta,PA,588152,80,2023-06-10
800971797,Fender Musical Instruments Corporation,PA00102924,Ann Arbor,PA,508949,75,2022-06-10
800488210,Idea Infinity,PA00999232,Bradenton,PA,678050,75,2018-03-10
800987624,557 Pollard Square,PA00244845,Santa Maria,PA,582009,97,2020-05-25
800758818,349 Emery Parkway,PA00957032,Sugar Hill,PA,588629,37,2018-09-03
800130894,VIZ Media,PA00715189,Everett,PA,550074,72,2017-06-03
800045866,"FileMaker Inc., formerly Claris Corp.",PA00634715,Golden Valley,PA,552777,100,2016-09-29
800920734,1397 Spruce Bridge,PA00379962,Rock Springs,PA,578445,56,2017-01-01
800556467,923 Hill Point Path,PA00736766,Shoreview,PA,647827,68,2023-12-22
800553598,342 Sergeant John V Young Path,PA00313574,Huntsville,PA,618751,57,2021-11-10
800353307,Audiovox,PA00544490,Baldwin,PA,543645,60,2020-05-23
800818498,870 Hemdale Green,PA00493591,Rome,PA,689462,95,2023-06-25
800308793,67 Sutro Heights Field,PA00758886,Plymouth,PA,541773,29,2015-08-05
800925683,OSI Restaurant Partners,PA00832315,Wellington,PA,624326,56,2021-03-14
800085750,Crazy Eddie,PA00406243,Elyria,PA,590604,73,2022-03-21
800122397,Rite Solution,PA00046642,Daly City,PA,558325,59,2020-06-15
800555319,368 Laskie Glen,PA00592797,Anacortes,PA,669895,41,2018-04-22
800077269,1173 Sparta Park,PA00617796,Alpharetta,PA,593146,60,2017-05-25
800768255,844 Font Estate,PA00945165,Hagerstown,PA,542245,71,2021-04-08
800279800,Novellus Systems,PA00154304,Perrysburg,PA,546566,62,2017-06-29
800906252,Midwest Communications,PA00900849,South Jordan,PA,689196,65,2020-12-02
800449240,Convergys Corp.,PA00473155,Victoria,PA,506084,64,2020-12-08
800984585,Mission Realty,PA00969112,Knoxville,PA,617541,38,2021-05-11
800643064,VECO Corporation,PA00505009,Hallandale Beach,PA,535055,96,2016-01-26
800496975,Wise Solutions,PA00718165,Ankeny,PA,675599,65,2016-12-03
800834157,Kroger,PA00089138,Chicopee,PA,620050,44,2018-07-27
800455137,ManPower,PA00064197,Angleton,PA,586411,82,2017-06-24
800733063,1197 Gibson Hills,PA00264963,Weston,PA,644787,67,2019-03-18
800652630,Verbatim Corporation,PA00401826,Elk Grove Village,PA,543780,31,2015-11-17
800193577,788 Sydney Turnpike,PA00668282,Missouri City,PA,547321,39,2016-12-07
800791496,1211 Entrada Court,PA00963651,Palo Alto,PA,646249,95,2017-02-08
800718582,Hardee's,PA00799636,Cliffside Park,PA,678761,47,2021-11-19
800637185,Red Hat,PA00545704,Macon,PA,500503,59,2023-10-29
800823391,Kmart,PA00273866,Ocean Springs,PA,612654,38,2018-06-24
800976559,Baker Hughes,PA00655364,Bowling Green,PA,623242,49,2019-10-07
800260633,1189 Ironwood Shore,PA00562570,Mountain Brook,PA,571600,53,2015-08-30
